dates,nzd0197-0000,nzd0197-0001,nzd0197-0002,nzd0197-0003,nzd0197-0004,nzd0197-0005,nzd0197-0006,nzd0197-0007,nzd0197-0008,nzd0197-0009,nzd0197-0010,nzd0197-0011,nzd0197-0012,nzd0197-0013,nzd0197-0014,nzd0197-0015,nzd0197-0016,nzd0197-0017,nzd0197-0018,nzd0197-0019,nzd0197-0020,nzd0197-0021,nzd0197-0022,nzd0197-0023,nzd0197-0024,nzd0197-0025,nzd0197-0026,nzd0197-0027,nzd0197-0028,nzd0197-0029,nzd0197-0030,nzd0197-0031,nzd0197-0032,nzd0197-0033,nzd0197-0034,nzd0197-0035,nzd0197-0036,nzd0197-0037,nzd0197-0038,nzd0197-0039,nzd0197-0040,nzd0197-0041
2015-03-09 21:59:30+00:00,312.57666666666665,256.355,202.64,224.03,302.845,245.1833333333333,246.36666666666667,248.35333333333335,244.42999999999998,234.99333333333334,219.15666666666667,228.33,247.98666666666668,213.195,233.7266666666667,223.97000000000003,264.8866666666667,262.20666666666665,266.67333333333335,271.24,266.5933333333333,262.25,262.84666666666664,249.17666666666665,235.07333333333335,251.29000000000002,288.94,292.78000000000003,289.02,276.15333333333336,276.26,269.7733333333333,289.06,267.65999999999997,313.48,299.82666666666665,285.12333333333333,280.6333333333334,279.4633333333333,270.43666666666667,267.4066666666667,273.87
2015-04-10 21:59:13+00:00,309.15250000000003,252.37333333333333,203.02999999999997,225.31,303.09666666666664,246.495,245.48,248.35333333333335,243.20749999999998,234.99333333333334,218.91500000000002,226.6675,247.385,213.195,233.7266666666667,223.97000000000003,264.91,262.2525,266.33500000000004,270.8425,265.655,261.72,262.5125,247.5675,234.4225,250.82000000000002,287.5,290.9625,286.3566666666666,275.4025,275.89,268.4125,285.6225,257.74,312.14,299.41,284.8175,278.76,279.4633333333333,270.43666666666667,267.4066666666667,273.87
2015-05-12 21:58:53+00:00,308.425,248.68000000000004,203.42,227.0,303.92,245.56333333333336,246.0233333333333,247.16666666666666,244.3475,235.74333333333334,219.51999999999998,227.45,247.305,218.82000000000002,224.39500000000004,202.83666666666667,266.23,263.8725,267.3775,271.465,266.33,262.53,263.265,248.5525,228.7825,252.06333333333336,280.6325,289.6425,286.3566666666666,275.1,276.9825,268.0775,284.565,251.74,312.075,299.21000000000004,284.1925,278.41499999999996,281.595,271.605,266.6766666666667,272.8733333333334
2015-05-19 22:05:04+00:00,308.425,244.84500000000003,202.34333333333333,226.58666666666667,303.92,245.56333333333336,246.0233333333333,247.57750000000001,240.714,235.74333333333334,219.314,225.378,246.86999999999998,218.82000000000002,224.39500000000004,191.845,265.562,263.55,266.672,271.084,266.31,262.184,263.076,248.032,229.308,251.275,280.752,288.378,286.3566666666666,273.95799999999997,273.494,265.9,284.084,248.288,312.075,299.21000000000004,284.1925,278.41499999999996,281.595,271.605,266.6766666666667,272.8733333333334
2015-05-28 21:58:55+00:00,308.425,244.84500000000003,202.34333333333333,226.58666666666667,303.92,245.56333333333336,246.0233333333333,244.734,239.94500000000002,235.74333333333334,219.00666666666666,224.18666666666664,246.1483333333333,218.82000000000002,224.39500000000004,191.845,263.06333333333333,263.01,266.17833333333334,270.815,265.6116666666667,261.70166666666665,262.8566666666666,248.032,229.308,251.275,280.752,288.378,286.3566666666666,273.08166666666665,272.63166666666666,263.6266666666666,283.6816666666667,248.288,312.075,299.21000000000004,284.1925,278.41499999999996,281.595,271.605,266.6766666666667,272.8733333333334
2015-07-22 22:05:37+00:00,308.425,244.84500000000003,202.34333333333333,226.58666666666667,303.92,245.56333333333336,246.0233333333333,244.734,239.94500000000002,235.74333333333334,218.85857142857142,223.54285714285714,245.62285714285713,218.82000000000002,224.39500000000004,191.845,262.75714285714287,263.09999999999997,266.46,270.8,265.34,261.62,262.84142857142854,247.42166666666665,230.025,250.93800000000002,281.0466666666667,287.40333333333336,283.1975,272.68,271.59000000000003,262.15285714285716,283.50142857142856,246.54666666666665,312.075,299.21000000000004,284.1925,278.41499999999996,281.595,271.605,266.6766666666667,272.8733333333334
2015-08-16 21:59:34+00:00,308.425,244.84500000000003,202.34333333333333,226.58666666666667,303.92,245.56333333333336,246.0233333333333,244.734,239.94500000000002,235.74333333333334,218.85857142857142,223.54285714285714,245.62285714285713,218.82000000000002,224.39500000000004,186.88000000000002,262.65125,263.23,266.09,270.825,264.94,261.37375,262.56624999999997,242.12428571428572,225.85,250.93800000000002,277.6928571428571,287.24857142857144,283.1975,272.68,268.4825,261.74875,283.70125,244.54714285714286,309.62399999999997,298.25200000000007,283.96,271.25,281.595,269.8966666666667,265.355,271.6625
2015-08-23 22:05:48+00:00,308.425,244.84500000000003,202.81,227.345,302.99,247.16250000000002,244.885,245.02666666666667,240.1757142857143,234.60250000000002,218.90625,223.59875,245.245,226.3475,215.38,182.87666666666667,262.75,262.9977777777778,265.99555555555554,270.7288888888889,265.0111111111111,261.43888888888887,262.5822222222222,242.78875,226.56625,250.47666666666666,278.5625,287.28,282.554,272.67,266.21666666666664,261.3644444444444,283.78111111111116,244.1725,305.785,298.25200000000007,279.26666666666665,261.515,266.91,267.0025,264.72200000000004,271.18600000000004
2015-09-01 21:59:39+00:00,304.15,245.344,203.404,227.468,302.99,249.1266666666667,244.14666666666668,245.85999999999999,239.095,233.9566666666667,218.905,223.20624999999998,243.10250000000002,229.76666666666665,210.46499999999997,176.49200000000002,261.99,262.93777777777774,265.64888888888885,270.2633333333333,264.12888888888887,260.97999999999996,262.12666666666667,241.91625,226.31125,250.15714285714284,277.61,285.6225,281.2375,271.755,264.70624999999995,259.93333333333334,282.98555555555555,237.12,304.66333333333336,292.162,278.9433333333333,261.1616666666667,260.2766666666667,265.46666666666664,263.65600000000006,269.80199999999996
2015-12-29 22:06:09+00:00,298.88,247.34,204.995,228.78999999999996,300.2,251.96,241.47,276.67,241.56,238.53,223.35750000000002,228.19000000000003,244.46499999999997,257.505,239.75500000000002,164.94,265.09800000000007,265.11199999999997,267.024,272.72,265.246,262.986,263.51800000000003,241.98599999999996,228.998,252.68,280.454,287.408,283.37000000000006,274.6,261.2925,263.312,286.342,238.135,303.9475,290.4766666666667,279.19,253.98000000000002,260.27,267.77666666666664,265.545,271.4575
