dates,satname,nzd0005-0000,nzd0005-0001,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0005,nzd0005-0015,nzd0005-0016,nzd0005-0017,nzd0005-0029,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0009,nzd0005-0010,nzd0005-0011
2016-01-12 22:17:40.472000,L8,,,,,,,,,,,,,,,,,,,,,,213.78,217.78,231.41,242.23,216.51,252.04,261.05,277.55,287.85,284.96,,,,,,,,,,,
2016-05-19 22:17:11.230000,L8,,,261.82,256.26,255.90,,,,,,,,,,,,,,,,237.07,215.57,233.85,232.47,243.06,221.66,253.62,259.04,276.94,287.53,287.82,,,,,,,,,,,
2016-09-24 22:17:49.840000,L8,,,,,,,,,,,,,,,,,,,,,,188.44,226.49,226.48,242.77,216.96,251.33,258.67,279.66,281.11,265.48,,,,,,,,,,,
2016-10-10 22:17:54.274000,L8,,,,,,,,,,,,,,,,,,,,,236.27,214.33,222.29,231.97,243.94,214.57,252.78,260.24,273.44,287.33,283.77,,,,,,,,,,,
2017-01-30 22:17:38.957000,L8,,,269.47,276.58,247.20,,,,,239.88,248.38,240.15,233.49,,,,,,,,233.57,221.63,225.34,234.43,245.75,219.05,253.13,263.07,276.07,289.07,283.07,,,,,,,,,,,
2017-03-03 22:17:25.727000,L8,,,274.79,277.82,254.61,,,,285.01,286.65,285.68,239.76,267.56,,,,,,,,235.18,225.25,224.68,234.91,245.36,219.58,251.79,261.35,277.54,289.34,290.77,,,,271.87,,,,,,,
2017-05-06 22:16:55.401000,L8,,,271.70,260.18,261.63,,,,211.26,246.70,285.12,248.01,266.40,254.98,,,,,,,,187.45,180.41,219.59,238.40,207.27,244.98,253.06,266.53,281.43,276.53,,,,177.08,,,,,,,
2017-06-07 22:17:15.240000,L8,303.33,281.63,282.03,324.82,279.63,315.40,312.00,301.87,309.90,303.59,304.19,291.61,280.93,281.17,284.54,284.62,288.22,273.39,266.05,244.11,244.51,246.56,238.27,240.43,253.13,228.55,261.90,265.76,282.43,285.08,282.51,274.92,301.38,302.80,308.34,258.57,278.77,274.68,274.05,187.29,202.02,291.64
2017-08-10 22:17:37.375000,L8,,,,,,,,,,,,,,,,,,,,,,207.85,213.33,227.12,232.30,210.76,242.50,250.29,,,,,,,,,,,,,,
2017-09-11 22:17:42.311000,L8,303.77,273.28,280.09,329.13,273.81,295.39,292.19,274.83,285.97,289.18,290.81,286.76,276.97,276.10,277.05,274.79,278.01,272.04,257.11,252.67,247.94,243.95,468.26,462.77,323.32,229.99,261.53,275.96,287.46,303.56,308.90,271.80,263.30,271.84,268.15,251.39,270.35,271.41,270.16,,,
2017-09-27 22:17:48.664000,L8,,,,,,,,,,,,,,,,,,,,,,212.95,213.26,231.97,239.15,209.65,246.43,252.04,,,,,,,,,,,,,,
2017-11-30 22:17:44.511000,L8,,,,,,,,,207.82,250.76,268.67,253.86,269.54,268.51,207.16,239.59,,,,,247.66,228.67,229.56,241.20,249.72,222.74,258.83,267.49,283.44,298.94,300.50,,,,185.45,,,,,,,
2017-12-16 22:17:46.727000,L8,,,273.98,307.50,257.33,,,,203.04,271.13,276.61,250.04,267.68,258.80,,,,,,,,,,,,,226.17,270.71,277.22,291.53,298.69,,,,,,,,,,,
2018-04-07 22:16:59.037000,L8,301.65,273.73,275.48,315.28,270.58,302.51,298.32,269.26,292.49,298.29,291.72,285.68,275.23,275.47,274.27,267.40,,216.52,253.08,248.99,246.56,234.76,233.50,240.91,250.59,216.34,248.15,263.12,285.38,296.02,298.43,269.25,268.93,280.52,285.72,238.70,270.35,266.34,269.31,,,
2018-06-26 22:16:36.823000,L8,297.77,272.34,272.51,326.67,270.11,,,,215.91,267.55,282.22,275.12,269.07,267.70,252.94,260.28,266.70,266.84,248.92,243.16,242.52,229.09,234.43,238.27,247.70,224.65,255.54,254.10,282.49,292.29,291.19,264.75,,,185.05,223.10,264.61,261.95,263.74,,,
2018-11-01 22:17:30.804000,L8,,,272.13,305.58,252.03,,,,209.98,260.91,278.36,265.85,267.52,262.16,,,,,,,238.69,227.06,217.77,234.93,245.07,219.85,254.56,262.33,280.46,291.78,285.12,,,,180.71,,,,,,,
2018-11-17 22:17:31.986000,L8,,,272.93,320.01,259.26,,,,231.03,,,,,,,268.34,267.58,,246.35,212.03,244.30,240.89,237.71,244.71,247.98,228.22,256.53,266.75,281.09,297.19,293.71,,,266.43,270.38,228.91,,,,,,
2018-12-03 22:17:30.217000,L8,304.72,271.69,278.48,330.35,267.34,305.73,295.33,276.56,298.67,298.98,291.79,285.73,275.34,270.76,270.69,272.05,271.44,270.64,253.46,245.19,249.68,245.38,241.81,251.52,256.20,229.09,261.67,272.82,288.94,307.22,299.73,267.75,271.75,277.57,291.56,242.92,272.81,268.56,269.08,,,
2018-12-19 22:17:28.292000,L8,,,,276.59,246.86,,,,,,,,,,,,,,,,229.91,221.39,226.07,233.58,244.62,216.30,252.93,262.77,280.87,291.90,290.53,,,,,,,,,,,
2019-01-20 22:17:24.544000,L8,,,,,,,,,,,,,,,,,,,,,230.40,220.57,220.36,234.30,246.20,216.41,250.35,262.17,276.38,289.08,284.89,,,,,,,,,,,
