dates,nzd0005-0000,nzd0005-0001,nzd0005-0002,nzd0005-0003,nzd0005-0004,nzd0005-0006,nzd0005-0007,nzd0005-0008,nzd0005-0012,nzd0005-0013,nzd0005-0014,nzd0005-0017,nzd0005-0018,nzd0005-0019,nzd0005-0020,nzd0005-0021,nzd0005-0022,nzd0005-0023,nzd0005-0024,nzd0005-0025,nzd0005-0026,nzd0005-0027,nzd0005-0028,nzd0005-0029,nzd0005-0030,nzd0005-0031,nzd0005-0032,nzd0005-0033,nzd0005-0034,nzd0005-0035,nzd0005-0036,nzd0005-0037,nzd0005-0038,nzd0005-0039,nzd0005-0040,nzd0005-0041,nzd0005-0015,nzd0005-0016,nzd0005-0005,nzd0005-0011,nzd0005-0009,nzd0005-0010,satname
2018-12-19 22:17:28+00:00,334.66,282.46,271.33500000000004,267.64,269.38,277.565,317.39,271.705,317.39,308.5,299.84,187.25,,292.2,292.455,284.92499999999995,276.73,273.335,208.66,261.64,284.99,280.65,258.705,242.35000000000002,207.38,245.57,242.115,241.14499999999998,246.63,251.72,225.935,258.81,267.32,286.72,297.66,298.08,284.15,291.66,269.56,,,,L8
2019-01-20 22:17:24+00:00,,,265.99,263.57,265.35,274.02,317.39,261.26,,,,187.25,,283.01,285.78,277.82,268.94,263.77,208.66,235.86,,,248.91,227.65,207.38,237.985,228.02499999999998,227.14,237.78,248.95999999999998,218.51999999999998,254.57999999999998,264.745,281.55,293.37,291.485,,,263.54,,,,L8
2019-02-05 22:17:21+00:00,,,265.99,263.57,265.35,274.02,317.39,261.26,,,,187.25,,283.01,285.78,277.82,268.94,263.77,208.66,235.86,,,248.91,227.65,207.38,235.11,225.30666666666664,225.33333333333334,236.4766666666667,247.43999999999997,217.37,253.49333333333334,263.83,279.96,291.50333333333333,289.3966666666667,,,263.54,,,,L8
2019-03-25 22:17:09+00:00,,,265.99,263.57,265.35,271.515,292.025,255.175,,,,187.25,,283.01,285.78,277.82,268.94,263.77,208.66,235.86,,,248.91,227.65,207.38,235.6975,225.2225,225.89249999999998,236.6325,246.7575,217.23,253.07,262.9675,278.645,291.1625,288.32,,,263.54,,,,L8
2019-04-26 22:16:59+00:00,296.9,,267.65999999999997,263.84000000000003,265.25,271.85999999999996,281.08666666666664,258.97666666666663,302.05,292.87,267.33,187.25,,288.905,288.65,279.15999999999997,269.895,265.73,236.46999999999997,235.79000000000002,271.24,265.66,249.54500000000002,226.575,226.43,235.6975,225.42399999999998,226.82799999999997,236.51999999999998,246.7575,217.23,252.658,262.284,278.71799999999996,291.1625,288.32,271.54,278.68,263.96000000000004,,,,L8
2019-05-12 22:17:08+00:00,296.9,,267.65999999999997,263.84000000000003,265.25,266.43,272.2,256.9375,302.05,292.87,267.33,187.25,,288.905,288.65,279.15999999999997,269.895,265.73,236.46999999999997,235.79000000000002,271.24,265.66,249.54500000000002,226.575,226.43,234.686,224.84666666666666,226.6783333333333,235.77833333333334,246.02399999999997,217.38400000000001,252.38833333333332,261.74,278.0216666666667,290.174,286.416,271.54,278.68,263.96000000000004,,,,L8
2019-05-28 22:17:17+00:00,296.22,271.28,266.56333333333333,263.0733333333333,263.99,267.206,267.834,258.844,302.05,292.87,267.33,186.62,212.73,287.37666666666667,286.7966666666666,272.42333333333335,268.7366666666667,264.57,235.91666666666666,235.79000000000002,271.24,265.66,249.54500000000002,226.575,218.83,236.205,226.42000000000002,227.78714285714287,236.1242857142857,246.20833333333334,218.39499999999998,252.72285714285712,261.42857142857144,278.8985714285714,289.7,286.3016666666667,271.54,278.68,262.6666666666667,,,,L8
2019-07-15 22:17:32+00:00,296.5566666666667,270.705,266.06666666666666,262.5033333333334,262.7,265.83000000000004,259.76800000000003,260.438,302.05,292.87,267.33,191.11,227.82999999999998,288.24333333333334,285.8333333333333,270.8566666666667,268.24333333333334,264.25,250.66333333333333,241.54000000000002,263.95500000000004,261.82500000000005,248.32999999999998,227.16500000000002,226.98666666666668,234.33200000000002,226.57857142857142,227.83571428571426,236.08142857142857,245.106,217.94799999999995,251.70833333333334,260.44666666666666,277.59499999999997,288.108,283.946,271.54,278.68,261.08,,,,L8
2019-10-03 22:17:57+00:00,296.5566666666667,270.705,264.375,263.1075,262.81,266.64,271.62,261.72200000000004,302.05,292.87,267.33,192.63666666666666,223.45333333333335,283.4225,283.47749999999996,270.055,267.9675,263.5425,250.4275,247.11666666666667,265.00666666666666,262.21333333333337,248.91333333333333,228.06000000000003,226.98666666666668,239.14333333333335,231.844,231.06599999999997,238.17399999999998,245.82333333333335,220.65333333333334,253.07,259.37666666666667,279.2366666666667,286.77500000000003,282.265,271.54,278.68,262.86,,,,L8
2019-11-04 22:17:58+00:00,297.1333333333334,268.78666666666663,264.1775,264.15,263.46000000000004,267.382,284.088,260.946,,,251.35,196.8425,235.975,281.17,282.6875,270.175,268.2075,263.9,251.3775,259.0566666666667,265.87333333333333,263.31333333333333,250.2733333333333,232.74,217.74,241.4625,235.23200000000003,231.098,240.5,247.235,220.65333333333334,254.82750000000001,260.98999999999995,279.27333333333337,288.74666666666667,285.37333333333333,240.94,,264.48749999999995,,,,L8
