dates,satname,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
2004-10-13 21:38:32.826000,L5,,,,,,,,231.65,275.35,222.11,233.66,226.78,257.73,213.80,293.72,286.34,278.76,254.01,255.14,269.57,259.56,275.58,295.52,302.02,281.42,273.69,273.53,270.40,269.30,301.95,279.37,279.07,251.66,287.05,264.52,276.17,312.13,319.50,288.20,296.30,303.63,301.85,345.38,339.66,336.29,339.66
2005-02-18 21:40:42.163000,L5,334.53,333.33,339.07,336.68,341.82,332.21,330.35,335.43,330.35,326.11,331.45,341.95,347.94,343.51,328.64,323.14,312.72,307.84,291.45,303.65,310.23,320.92,328.54,326.22,325.14,332.63,322.73,321.31,307.28,340.67,323.10,305.60,307.13,329.89,326.34,342.51,347.61,350.77,335.83,341.82,346.46,348.36,366.60,357.67,366.16,368.95
2005-05-09 21:41:19.893000,L5,,,,,,170.76,186.22,347.78,341.91,343.89,341.66,357.27,365.84,368.87,359.33,345.48,341.48,340.30,338.57,343.13,348.51,349.56,356.68,353.96,354.47,362.10,354.55,357.35,349.64,371.93,357.66,339.18,346.38,378.64,364.38,363.29,374.65,372.26,373.23,366.63,358.89,363.64,378.88,377.99,382.90,392.95
2005-05-25 21:41:28.038000,L5,308.99,345.15,330.59,329.57,396.49,310.08,314.43,372.26,381.14,379.48,369.41,388.96,400.32,395.81,408.77,382.69,378.00,498.93,441.12,415.99,390.40,387.33,388.73,399.67,402.93,411.84,404.83,403.51,384.04,397.78,400.08,389.05,374.12,403.56,396.10,390.33,411.38,403.40,447.95,408.44,413.31,413.30,441.51,408.33,399.55,406.23
2005-06-10 21:41:36.102000,L5,,,,,,171.92,197.64,197.94,333.27,323.03,,,348.16,364.53,351.54,340.40,329.10,341.03,336.62,340.21,360.86,356.33,351.63,348.25,351.83,356.03,349.25,353.14,346.49,373.97,357.43,334.57,338.20,360.35,362.51,368.48,375.06,381.85,375.34,359.29,351.08,365.20,385.18,377.42,377.92,387.97
2005-06-26 21:41:40.412000,L5,,,,,,,,,,,,,,,,294.16,296.02,274.30,262.53,288.53,290.08,303.07,311.87,302.44,299.97,303.18,298.89,288.69,280.49,312.79,295.64,287.01,289.75,312.17,321.63,331.29,336.99,320.43,320.37,,302.93,305.99,343.85,338.56,332.66,340.84
2005-07-12 21:41:47.390000,L5,183.69,192.14,217.29,224.80,,172.96,186.78,207.03,331.19,,,,354.67,352.03,341.26,330.28,329.33,329.46,318.93,327.61,331.51,341.59,347.88,347.03,346.95,361.02,352.62,367.81,336.58,365.58,349.80,337.94,328.08,347.08,355.40,356.52,366.93,366.12,369.49,355.43,349.25,359.88,377.21,367.33,373.35,383.36
2005-08-13 21:42:05.358000,L5,,,,,,166.66,176.67,314.46,317.31,305.37,315.30,333.27,344.71,336.69,320.38,313.42,309.25,304.16,297.04,306.90,307.90,308.86,318.36,316.37,315.35,318.21,313.64,307.67,290.04,329.65,323.52,310.09,307.87,329.72,338.42,349.27,356.69,346.21,331.78,320.19,321.81,325.11,352.26,347.81,342.06,352.63
2005-08-29 21:42:10.705000,L5,524.16,485.80,419.51,493.38,468.44,,,304.56,162.15,282.71,262.16,254.47,194.91,323.92,308.41,297.75,291.82,285.74,277.78,294.92,298.40,302.12,315.90,314.58,310.97,309.59,302.78,288.74,272.14,309.49,293.50,287.19,273.41,306.55,310.15,320.91,335.97,316.56,310.95,305.73,316.41,317.97,352.09,350.59,331.58,334.21
2006-01-20 21:44:01.121000,L5,311.44,333.08,334.26,342.90,334.91,333.77,332.77,338.42,331.46,334.64,328.79,353.37,361.32,347.35,354.38,331.03,314.76,309.66,303.14,313.14,320.02,341.95,346.00,351.98,347.06,351.94,335.69,327.78,307.97,340.62,321.39,310.39,313.31,335.63,339.05,345.00,352.82,352.73,332.69,355.93,352.64,353.82,368.63,364.42,359.12,377.18
