dates,nzd0268-0000,nzd0268-0001,nzd0268-0002,nzd0268-0003,nzd0268-0004,nzd0268-0005,nzd0268-0006,nzd0268-0007,nzd0268-0008,nzd0268-0009,nzd0268-0010,nzd0268-0011,nzd0268-0012,nzd0268-0013,nzd0268-0014,nzd0268-0015,nzd0268-0016,nzd0268-0017,nzd0268-0018,nzd0268-0019,nzd0268-0020,nzd0268-0021,nzd0268-0022,nzd0268-0023,nzd0268-0024,nzd0268-0025,nzd0268-0026,nzd0268-0027,nzd0268-0028,nzd0268-0029,nzd0268-0030,nzd0268-0031,nzd0268-0032,nzd0268-0033,nzd0268-0034,nzd0268-0035,nzd0268-0036,nzd0268-0037,nzd0268-0038,nzd0268-0039,nzd0268-0040,nzd0268-0041,nzd0268-0042,nzd0268-0043,nzd0268-0044,nzd0268-0045
2003-01-20 21:42:33+00:00,305.4,329.24,335.2675,335.566,357.09000000000003,350.7575,336.964,342.326,334.386,333.3875,332.0275,345.41499999999996,351.0725,361.32,345.15000000000003,331.82,325.98,332.15000000000003,318.9633333333333,321.176,332.3025,333.26,340.11,336.14,332.565,347.59000000000003,313.8433333333333,327.9766666666667,321.75666666666666,336.02,320.945,304.115,302.18,310.63,330.40333333333336,332.8025,322.36,,,,337.54,312.4,306.54,318.95,,
2003-02-05 21:42:41+00:00,305.4,330.45,338.668,335.566,357.0733333333333,351.302,338.16833333333335,343.7033333333333,336.05333333333334,336.522,335.802,351.634,351.0725,361.32,349.1725,340.95,328.9375,335.52750000000003,324.8675,317.26666666666665,332.3025,333.26,348.185,336.14,323.20666666666665,347.59000000000003,312.355,322.1,321.75666666666666,318.53,312.27,301.09666666666664,299.34,308.4975,328.26,330.66400000000004,322.36,,,,337.54,312.4,306.54,318.95,,
2003-02-21 21:42:44+00:00,305.4,330.45,338.175,335.566,354.355,349.9683333333333,338.28142857142853,344.12857142857143,336.24142857142857,337.5733333333333,337.025,352.96999999999997,352.15999999999997,361.34000000000003,347.392,337.16,327.808,334.962,325.148,317.26666666666665,332.3025,333.26,348.185,339.88,323.20666666666665,348.0933333333333,316.88599999999997,322.846,322.08,326.115,320.4225,308.23,305.5325,317.294,332.61,331.7266666666667,328.105,313.06,321.19,332.62,334.70000000000005,317.565,316.015,318.95,,
2003-05-12 21:42:48+00:00,305.4,330.45,337.815,332.72999999999996,351.62,348.99666666666667,332.05499999999995,339.71250000000003,331.094,332.418,334.418,349.786,344.92,358.95,346.7,335.8866666666667,329.59999999999997,333.465,324.72999999999996,307.83,330.105,333.025,356.26,340.96500000000003,322.015,349.1,310.57333333333327,309.66333333333336,322.3,330.16333333333336,327.41,302.6433333333334,300.24,310.30333333333334,328.4866666666666,326.3025,328.105,313.06,321.19,332.62,331.86,317.565,316.015,,,
2003-05-28 21:42:46+00:00,,325.505,336.08666666666664,316.3,351.62,348.39,328.77666666666664,337.8,329.905,330.89,333.235,348.9,336.755,358.86,347.32666666666665,335.8866666666667,330.54999999999995,333.8566666666666,324.72999999999996,309.0825,329.03,330.44,356.26,340.96500000000003,322.015,349.1,310.57333333333327,309.66333333333336,319.83000000000004,330.16333333333336,327.41,302.6433333333334,300.24,310.30333333333334,331.9675,324.58333333333337,328.105,313.06,329.95500000000004,334.88,331.86,317.565,316.015,,,
2003-09-25 21:31:42+00:00,,,334.36,343.48,345.58,337.26,335.35,336.88,332.95500000000004,325.975,339.925,346.7,360.71,353.57500000000005,341.925,327.825,320.5,319.62,305.78999999999996,323.2633333333333,325.12,326.57,330.92,338.31,339.54,340.19,,,316.98,358.07,339.58500000000004,321.26,317.7,336.25,344.975,357.95,,,338.72,340.71,,,,,,
2003-11-28 21:32:34+00:00,337.69,347.52,339.46000000000004,348.425,347.515,342.655,339.595,344.79499999999996,342.565,338.70500000000004,342.735,355.765,364.06,357.525,345.69,332.745,328.525,329.455,326.03,328.46000000000004,332.27,322.7,330.92,,,348.555,343.38,,323.95500000000004,356.77,342.43,323.39,321.45,344.24,347.54,357.95,,,,344.28,,,,,,
2003-12-14 21:32:38+00:00,346.53999999999996,354.985,345.7966666666667,355.30333333333334,352.56333333333333,347.94666666666666,345.5733333333333,352.09666666666664,349.0833333333333,347.1966666666667,347.77,363.37999999999994,371.49333333333334,365.57,352.84,339.87999999999994,328.525,329.455,326.03,328.46000000000004,332.27,322.7,330.92,,,348.555,349.895,,323.95500000000004,356.77,342.43,323.39,321.45,344.24,347.54,357.95,,,,344.28,,,,,,
2004-05-06 21:34:22+00:00,346.53999999999996,354.985,351.51500000000004,361.21500000000003,356.05500000000006,353.28999999999996,350.685,358.45666666666665,354.9866666666667,356.1433333333334,352.9166666666667,368.87999999999994,381.2633333333333,374.7366666666667,361.0533333333333,352.34666666666664,350.625,350.325,352.33500000000004,348.775,355.82,362.37,,,,356.92,349.895,354.36,333.675,356.77,352.67,334.21,333.225,352.23,,,,,,,,,,,,
2004-06-23 21:35:46+00:00,,,,,,,,355.96,349.38,357.21,356.16,,390.02,371.245,359.2,346.775,351.42499999999995,351.185,351.625,350.485,354.72,362.37,354.33,359.34,,365.73,346.69,351.96500000000003,339.22,,356.21000000000004,342.9,341.25,,,,,,,,,,,,,
