dates,satname,nzd0412-0000,nzd0412-0001,nzd0412-0002,nzd0412-0003,nzd0412-0004,nzd0412-0005,nzd0412-0009,nzd0412-0010,nzd0412-0011,nzd0412-0012,nzd0412-0013,nzd0412-0014,nzd0412-0015,nzd0412-0016,nzd0412-0017,nzd0412-0018,nzd0412-0019,nzd0412-0020,nzd0412-0021,nzd0412-0022,nzd0412-0023,nzd0412-0024,nzd0412-0025,nzd0412-0026,nzd0412-0027,nzd0412-0028,nzd0412-0029,nzd0412-0030,nzd0412-0031,nzd0412-0032,nzd0412-0033,nzd0412-0037,nzd0412-0038,nzd0412-0039,nzd0412-0040,nzd0412-0041,nzd0412-0042,nzd0412-0043,nzd0412-0044,nzd0412-0006,nzd0412-0007,nzd0412-0008,nzd0412-0034,nzd0412-0035,nzd0412-0036,nzd0412-0045,nzd0412-0046,nzd0412-0047,nzd0412-0048,nzd0412-0054,nzd0412-0055,nzd0412-0056,nzd0412-0057,nzd0412-0058,nzd0412-0059,nzd0412-0060,nzd0412-0061,nzd0412-0049,nzd0412-0067,nzd0412-0068,nzd0412-0069,nzd0412-0050,nzd0412-0051,nzd0412-0052,nzd0412-0053,nzd0412-0062,nzd0412-0063,nzd0412-0064,nzd0412-0065,nzd0412-0066
2002-03-04 21:56:33.807000,L7,290.68,300.33,296.38,304.79,317.72,328.42,,,,341.51,339.10,351.38,328.58,309.20,298.37,,,345.37,315.22,297.19,301.96,294.53,301.21,302.09,301.53,293.33,304.86,313.32,309.90,313.43,317.31,339.92,332.76,338.38,353.06,340.25,357.70,364.86,369.22,337.05,,,317.61,314.56,330.04,363.56,364.31,367.35,368.95,,,,,,,,,359.13,,,,361.83,,,,,,,,
2002-03-20 21:56:24.055000,L7,301.36,295.65,301.46,304.37,313.14,316.14,,,346.66,351.09,316.43,318.64,318.13,298.88,314.02,294.56,304.55,298.15,324.11,315.50,312.18,316.83,321.06,325.87,327.61,320.76,338.00,341.16,344.45,347.54,353.37,361.27,362.07,371.70,378.01,370.00,373.92,373.07,371.41,336.19,,,355.10,355.70,,366.96,366.71,370.01,377.99,379.06,352.58,318.17,315.73,316.61,335.13,348.62,342.27,369.55,,,,,,,,,,,,
2002-05-07 21:56:27.687000,L7,,,,,,,319.82,297.21,295.22,293.38,306.51,304.87,298.52,298.40,277.54,251.88,281.56,300.19,312.24,328.38,326.45,330.78,342.90,336.78,342.10,334.95,350.61,354.13,353.78,,,369.01,360.36,375.23,375.01,378.90,386.85,376.75,372.89,,,,,,,368.44,376.83,377.62,,,,,,,,,,,,,,,,,,,,,,
2002-10-14 21:55:19.836000,L7,322.11,311.90,314.28,324.02,332.38,,321.58,293.66,291.95,302.24,321.21,330.40,329.36,315.27,289.38,295.88,317.54,328.85,320.03,330.81,322.01,334.42,338.06,334.32,334.10,329.28,352.25,,,,,372.23,371.62,382.15,383.72,382.23,386.81,385.80,383.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-24 21:56:22.271000,L7,,,,,,,319.48,294.90,286.46,283.44,292.10,288.15,292.91,290.18,304.26,248.05,281.04,292.93,294.22,294.16,294.16,264.79,,,,,,,,,,,,,,,309.71,312.45,305.33,,,344.32,,,,303.50,337.44,334.79,354.43,,,,,,,,,358.68,,,,366.60,,,,,,,,
2003-05-10 21:56:22.313000,L7,,,,,,,316.68,287.31,280.09,279.06,301.67,318.64,340.55,305.34,284.66,309.23,308.49,318.29,311.27,320.34,326.84,336.70,330.84,328.43,334.95,335.32,347.87,350.49,361.37,,,361.98,365.52,377.96,367.59,374.71,378.01,371.96,371.14,,,,,,,366.36,378.54,375.69,382.60,,330.70,322.61,319.01,328.40,343.07,362.81,355.52,,,,,,,,,,,,,
2003-07-21 21:44:09.463000,L5,303.07,293.87,292.64,296.60,305.39,313.47,302.31,279.03,274.56,264.67,282.59,273.32,,,225.68,234.35,259.09,295.12,305.74,300.31,317.04,327.54,319.70,311.46,313.08,310.05,334.67,341.64,346.67,339.33,339.96,,,,,351.57,365.29,362.96,367.92,328.54,336.16,333.92,346.20,345.59,356.57,355.22,368.44,368.53,370.85,369.08,,,,,,328.09,320.60,363.39,391.27,383.40,440.75,355.66,352.85,350.07,343.41,363.28,350.93,377.09,385.17,386.47
2004-04-02 21:46:54.575000,L5,,,,,,,330.76,309.16,309.05,306.97,316.79,325.06,323.54,326.16,306.22,288.39,304.61,320.42,326.27,333.54,333.88,340.35,339.41,342.63,343.05,346.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-04 21:47:51.656000,L5,338.82,324.56,325.81,322.67,335.07,340.52,329.68,312.88,315.49,310.64,320.84,318.84,321.65,320.32,308.83,270.44,302.41,322.93,330.99,336.20,337.58,344.15,348.99,347.80,349.02,346.53,361.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-05-20 21:48:20.187000,L5,,,,,238.88,255.33,270.57,257.54,258.10,,,,,,,,,,,,302.53,308.63,311.56,318.96,321.25,322.13,337.41,343.36,347.96,347.38,352.35,368.32,365.93,362.84,363.40,369.62,377.65,375.65,374.92,237.96,312.40,276.43,,,,366.69,379.48,375.36,383.00,,281.62,275.36,316.88,326.86,327.30,347.52,334.11,,,,,,,,,,,,,
2004-06-05 21:48:48.638000,L5,300.86,291.63,290.20,294.29,302.40,308.68,301.06,279.37,274.21,,,,,,,213.32,258.81,295.66,302.38,298.04,313.16,310.17,310.50,312.71,315.41,313.16,333.83,337.04,336.86,342.22,339.41,,,,,,365.60,353.06,366.52,325.48,334.64,330.55,343.15,343.06,356.57,353.11,367.83,365.31,371.20,,,,,,,330.35,322.41,360.85,394.10,387.42,443.59,361.29,364.37,,,353.41,348.15,381.66,388.72,
2004-07-07 21:49:44.929000,L5,299.61,289.91,285.88,287.62,302.23,309.99,308.72,276.67,274.99,,,,,,,,256.52,292.24,304.00,308.91,314.16,310.57,314.24,313.22,319.65,313.34,330.38,335.75,340.53,339.77,341.42,,,,,,371.57,366.67,366.79,330.54,337.41,333.90,345.20,345.46,357.49,362.84,370.95,368.29,376.89,,,,,,,340.49,328.43,369.73,,,,,,,,374.36,351.85,381.80,389.08,
2004-08-08 21:50:26.495000,L5,299.24,289.91,288.81,289.07,301.69,311.37,301.42,273.85,268.80,260.36,274.82,,,277.84,244.42,228.95,245.98,290.78,287.66,,310.27,307.12,312.16,310.82,312.29,308.31,330.07,337.95,342.28,342.62,349.19,,,353.70,358.50,360.75,367.56,362.57,363.85,324.27,335.44,328.88,347.59,350.25,,356.69,372.34,373.09,378.76,,,,295.59,314.03,309.14,330.01,323.35,368.05,,,,360.05,,,,364.91,353.13,378.61,389.69,
2004-09-25 21:51:43.061000,L5,,,,,,,325.54,304.69,297.89,298.84,313.17,312.00,313.67,315.50,303.53,329.05,324.41,326.52,331.34,332.74,334.49,346.12,343.61,344.30,349.02,341.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-10-27 21:52:23.346000,L5,320.71,315.83,310.80,315.73,323.35,,335.85,325.23,315.50,312.38,313.32,310.09,313.96,315.02,299.92,274.99,293.82,333.31,334.74,345.33,344.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-15 21:53:45.186000,L5,313.82,308.71,308.48,318.48,336.12,344.87,330.84,312.83,295.25,296.23,304.38,308.80,305.39,308.90,291.67,277.11,316.66,331.83,337.21,349.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04 21:54:27.824000,L5,330.29,315.34,320.58,317.91,329.11,339.54,,337.95,320.55,309.23,318.65,312.60,315.40,312.74,317.73,331.26,346.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-05 21:54:42.889000,L5,335.46,323.22,323.61,330.58,335.83,,334.85,308.12,303.00,310.32,308.27,314.45,309.76,313.38,299.64,274.76,304.33,319.66,324.20,343.50,340.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-04-21 21:54:46.500000,L5,,,,,,,334.09,329.90,314.90,311.21,315.62,317.69,313.06,316.15,309.18,279.25,304.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
