dates,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059,satname
2001-04-04 21:43:43.008,391.6566666666667,328.2133333333333,291.38666666666666,289.7366666666667,297.3433333333333,300.7966666666667,300.67,307.7266666666667,309.99333333333334,315.54,320.21,324.4166666666667,327.81666666666666,336.8933333333334,330.07666666666665,329.1766666666667,327.19666666666666,325.5233333333333,325.69,324.7333333333333,337.815,327.46666666666664,326.91333333333336,330.26,333.84666666666664,335.15000000000003,334.21,336.2033333333334,338.40333333333336,340.12666666666667,344.28999999999996,339.9433333333333,336.10999999999996,333.29333333333335,331.1666666666667,328.12333333333333,325.65000000000003,320.2133333333333,317.52666666666664,313.74333333333334,303.09666666666664,285.32500000000005,234.05,278.4766666666667,266.59,294.21500000000003,332.355,320.565,312.2033333333333,309.40000000000003,306.0733333333333,381.93499999999995,367.06,306.34666666666664,290.81,299.96500000000003,283.61333333333334,338.41499999999996,340.1166666666667,353.71,L7
2001-04-20 21:43:46.702,392.3875,328.2133333333333,291.38666666666666,289.7366666666667,297.3433333333333,300.7966666666667,317.7525,307.7266666666667,309.99333333333334,315.54,320.21,324.4166666666667,327.81666666666666,336.8933333333334,330.07666666666665,329.1766666666667,329.2975,327.10249999999996,327.65999999999997,326.79499999999996,337.79,327.46666666666664,326.91333333333336,330.26,333.84666666666664,335.15000000000003,334.21,336.2033333333334,338.40333333333336,357.275,361.14,339.9433333333333,338.0225,335.8175,348.515,328.12333333333333,328.6,322.675,319.9375,316.5175,305.2675,284.59666666666664,227.35666666666665,280.755,269.775,289.21,329.37333333333333,319.78,314.7925,312.28999999999996,310.15999999999997,372.2,359.096,307.0525,289.8125,301.95,283.40250000000003,339.70666666666665,340.1166666666667,353.71,L7
2001-06-07 21:43:18.779,395.3166666666666,328.78249999999997,291.38666666666666,289.7366666666667,297.3433333333333,300.7966666666667,323.056,301.64750000000004,309.99333333333334,315.54,312.6825,324.4166666666667,326.345,337.39750000000004,330.07666666666665,329.1766666666667,329.2975,327.10249999999996,327.65999999999997,331.86199999999997,337.29833333333335,327.46666666666664,326.91333333333336,330.26,333.84666666666664,336.5325,334.83,336.75750000000005,337.6925,362.35,365.73400000000004,341.3225,338.0225,335.8175,353.168,321.87,328.6,329.12,319.9375,316.5175,305.2675,284.59666666666664,227.35666666666665,280.755,269.775,289.21,329.37333333333333,319.78,314.7925,312.28999999999996,310.15999999999997,368.46500000000003,355.77000000000004,307.0525,289.8125,301.95,283.40250000000003,339.70666666666665,340.1166666666667,353.71,L7
2001-06-30 21:49:12.248,390.03499999999997,337.93999999999994,292.34,306.56333333333333,307.67,314.60999999999996,327.134,301.5366666666667,320.01,326.55333333333334,311.32666666666665,336.0466666666666,335.0,342.645,346.91,330.405,340.36,332.195,334.6725,338.21999999999997,342.24,339.12,333.7266666666667,336.8166666666666,339.04333333333335,344.485,341.0125,343.92,343.0575,368.416,369.882,346.78999999999996,344.95,343.49249999999995,358.46799999999996,320.04,338.385,335.618,327.62,321.78749999999997,310.2775,298.3066666666667,229.45000000000002,285.34,278.5625,292.63666666666666,319.7766666666667,316.8933333333334,312.46000000000004,311.5575,315.3775,362.486,348.38800000000003,303.6125,286.04,308.3233333333333,281.3575,342.51666666666665,338.1933333333333,366.42,L7
2001-07-25 21:42:54.824,381.96750000000003,342.16999999999996,292.34,314.0075,312.64,316.525,325.7416666666667,301.5366666666667,323.51,329.145,311.32666666666665,338.28999999999996,337.548,347.95799999999997,351.5775,341.16333333333336,343.46999999999997,335.206,337.434,339.4783333333333,343.4857142857143,342.315,337.78499999999997,341.71999999999997,344.26,346.822,345.302,347.276,347.052,367.4583333333333,369.18666666666667,349.606,348.17199999999997,345.94399999999996,357.6716666666666,320.04,340.73400000000004,337.2783333333333,330.31,324.902,314.258,301.17499999999995,223.2975,287.706,283.896,292.63666666666666,323.145,319.505,315.78000000000003,313.004,317.688,347.918,337.55600000000004,300.258,283.162,300.73249999999996,280.918,340.665,340.9125,369.49,L7
2001-08-10 21:42:36.562,381.96750000000003,342.16999999999996,292.34,314.0075,312.64,316.525,325.7416666666667,293.875,323.51,329.145,303.4475,338.28999999999996,337.548,347.95799999999997,351.5775,341.16333333333336,343.46999999999997,335.206,337.434,339.4783333333333,343.4857142857143,342.315,337.78499999999997,341.71999999999997,344.26,346.822,345.302,347.276,347.052,367.4583333333333,369.18666666666667,349.606,348.17199999999997,345.94399999999996,357.6716666666666,312.7175,340.73400000000004,337.2783333333333,330.31,324.902,314.258,301.17499999999995,223.2975,287.706,283.896,292.63666666666666,323.145,319.505,315.78000000000003,313.004,317.688,347.918,337.55600000000004,300.258,283.162,300.73249999999996,280.918,340.665,340.9125,369.49,L7
2001-08-26 21:42:25.671,376.25,342.99333333333334,299.76666666666665,311.528,311.77200000000005,316.018,323.59142857142854,293.875,322.12,328.098,303.4475,338.38199999999995,338.06166666666667,349.25666666666666,353.13800000000003,342.45,343.315,336.80333333333334,337.81166666666667,339.32714285714286,343.44875,341.988,339.47799999999995,341.68199999999996,344.866,347.29833333333335,346.5083333333334,347.56166666666667,355.28,366.1671428571429,367.9642857142857,349.9483333333333,349.87166666666667,347.5683333333333,356.2628571428572,312.7175,340.97333333333336,343.4442857142857,331.70166666666665,324.902,316.38,300.43999999999994,223.51,288.69,284.9866666666667,294.35749999999996,326.07800000000003,327.69,319.07166666666666,314.84,320.565,346.25666666666666,336.2316666666667,302.365,282.09666666666664,299.996,281.895,342.094,340.9125,369.49,L7
2001-09-02 21:48:29.341,376.25,347.812,307.105,336.12,333.99,328.786,327.0383333333333,288.1133333333333,324.895,330.845,299.0133333333333,343.34,344.93666666666667,357.45,362.24,352.5175,349.5933333333333,343.0333333333333,344.4783333333333,346.40714285714284,349.19625,349.284,345.46400000000006,346.842,351.622,351.95166666666665,351.66333333333336,351.935,361.18666666666667,371.02000000000004,372.11428571428576,355.07166666666666,353.44,352.28833333333336,359.1771428571428,310.38999999999993,345.3,348.72666666666663,337.47499999999997,331.666,323.0083333333333,301.085,227.82666666666668,294.9316666666667,294.98333333333335,296.782,328.39000000000004,327.74,324.92333333333335,319.8566666666666,327.72833333333335,345.0728571428572,334.54857142857145,303.50166666666667,283.3383333333333,296.62833333333333,285.10833333333335,340.1333333333333,342.21500000000003,369.49,L7
2001-09-18 21:48:17.356,377.644,357.1816666666667,337.42333333333335,347.9633333333333,343.02833333333336,341.02500000000003,327.0383333333333,288.1133333333333,324.895,330.845,299.0133333333333,343.34,344.93666666666667,357.45,362.24,352.5175,349.5933333333333,343.0333333333333,344.4783333333333,354.925,345.75857142857143,349.284,345.46400000000006,346.842,351.622,351.95166666666665,351.66333333333336,351.935,361.18666666666667,371.02000000000004,372.11428571428576,355.07166666666666,353.44,352.28833333333336,359.1771428571428,310.38999999999993,345.3,348.72666666666663,337.47499999999997,331.666,323.0083333333333,301.085,248.61285714285714,294.9316666666667,294.98333333333335,296.782,336.9585714285714,331.84000000000003,325.86,320.2314285714286,327.77,338.0314285714286,328.1228571428571,308.9157142857143,283.3383333333333,296.62833333333333,285.10833333333335,340.1333333333333,355.628,386.15333333333336,L7
2001-09-27 21:42:05.338,382.8733333333333,365.03000000000003,353.7225,358.34714285714284,353.6014285714286,341.02500000000003,327.0383333333333,288.1133333333333,324.895,330.845,299.0133333333333,343.34,344.93666666666667,357.45,362.24,352.5175,349.5933333333333,343.0333333333333,344.4783333333333,364.1744444444445,345.75857142857143,349.284,345.46400000000006,346.842,351.622,351.95166666666665,351.66333333333336,351.935,361.18666666666667,371.02000000000004,372.11428571428576,355.07166666666666,353.44,352.28833333333336,359.1771428571428,310.38999999999993,345.3,348.72666666666663,337.47499999999997,331.666,323.0083333333333,301.085,265.96875,294.9316666666667,294.98333333333335,296.782,344.37875,339.47,325.86,320.2314285714286,327.77,338.0314285714286,328.1228571428571,317.71875,283.3383333333333,296.62833333333333,285.10833333333335,340.1333333333333,366.06,398.515,L7
