dates,satname,nzd0499-0000,nzd0499-0001,nzd0499-0002,nzd0499-0003,nzd0499-0004,nzd0499-0005,nzd0499-0006,nzd0499-0007,nzd0499-0008,nzd0499-0009,nzd0499-0010,nzd0499-0011,nzd0499-0012,nzd0499-0013,nzd0499-0014,nzd0499-0015,nzd0499-0016,nzd0499-0017,nzd0499-0018,nzd0499-0019,nzd0499-0020,nzd0499-0021,nzd0499-0022,nzd0499-0023,nzd0499-0024,nzd0499-0025,nzd0499-0026,nzd0499-0027,nzd0499-0028,nzd0499-0029,nzd0499-0030,nzd0499-0031,nzd0499-0032,nzd0499-0033
2003-02-01 22:09:21.746000,L7,307.48,305.35,303.02,303.54,301.04,299.65,,293.98,276.58,277.46,300.75,305.51,305.61,312.34,319.90,322.73,327.45,297.41,320.47,315.26,314.79,,,,,,,,,,,,,
2003-08-13 21:51:32.649000,L5,281.37,266.77,273.96,273.77,276.02,274.73,271.83,267.71,263.64,264.21,265.51,,,,,,,,,,282.51,288.09,293.02,295.71,295.31,291.28,300.15,297.10,283.03,,,,,
2003-08-29 21:51:49.928000,L5,268.90,256.99,,,,,,,,,,,,,,,,,,274.27,282.78,287.72,289.98,290.75,287.92,291.72,291.69,,,,,,,
2003-09-30 21:52:18.101000,L5,,,,,,,,,,,,,,,,,,,,287.02,286.47,287.64,291.12,287.77,290.99,296.51,301.07,295.86,287.19,,,,,
2003-10-07 21:58:35.519000,L5,409.67,277.58,284.89,289.27,287.37,293.97,292.03,282.72,290.76,293.08,293.74,296.12,300.41,308.92,313.86,307.35,287.16,293.86,312.20,309.88,303.82,307.07,305.55,309.69,306.81,315.18,323.04,,,,,,,
2003-11-17 21:52:57.120000,L5,437.06,321.32,325.48,336.71,337.92,331.51,330.55,330.88,330.14,334.81,336.72,334.72,332.99,331.48,339.29,342.87,343.38,347.57,343.10,342.66,337.81,335.83,343.62,346.77,346.13,351.28,352.22,350.92,349.04,350.63,352.07,344.48,341.62,337.71
2003-12-26 21:59:30.091000,L5,377.02,276.82,289.08,293.79,303.76,310.75,304.64,294.94,299.86,306.06,309.52,,,,,316.58,295.65,306.35,316.49,314.86,314.62,308.16,310.11,314.23,323.08,,,,,,,,,
2004-03-31 21:59:59.745000,L5,390.80,285.47,292.39,299.76,301.87,297.64,296.15,286.71,294.73,296.61,,,,300.66,308.30,312.01,302.42,295.01,317.69,308.64,306.45,302.29,,,,,,,,,,,,
2004-05-02 22:00:57.398000,L5,404.42,302.66,305.85,307.31,310.17,304.00,309.32,302.71,299.75,303.61,312.84,320.40,319.53,315.66,323.86,326.33,308.14,304.42,321.75,,,,,,,,,,,,304.85,288.18,356.80,366.88
2004-06-28 21:56:28.308000,L5,275.02,267.74,280.17,286.60,285.63,287.29,279.93,272.69,275.14,281.62,276.47,277.21,284.73,284.24,288.78,301.69,282.49,,304.69,303.44,295.18,279.39,277.34,299.86,302.52,304.03,315.56,298.96,295.13,284.98,,,,
2004-07-21 22:03:15.748000,L5,,333.95,336.52,337.00,336.37,322.88,320.70,314.79,,,,,,,,,,,334.66,322.64,331.00,326.53,322.94,332.65,331.37,330.14,335.29,331.74,339.58,373.58,,,,
2004-07-30 21:57:15.668000,L5,279.91,265.53,271.61,283.25,280.81,280.01,275.74,272.07,271.22,274.80,268.63,261.39,,,,,,,293.32,289.72,297.91,293.61,287.74,291.12,293.02,,,,,,,,,
2004-10-18 21:59:11.702000,L5,415.04,291.22,290.23,295.96,294.34,294.75,288.83,282.72,288.10,291.05,287.79,304.08,308.80,308.39,311.54,321.08,310.45,299.98,322.48,314.72,317.44,314.22,307.10,310.94,313.60,314.78,322.47,317.80,313.20,302.83,294.27,278.44,275.13,282.32
2004-11-10 22:05:47.634000,L5,400.56,290.28,295.07,304.36,304.88,306.20,299.10,291.22,297.16,301.37,290.82,294.90,301.23,304.74,312.36,318.55,308.08,306.72,321.84,325.09,343.98,337.10,323.95,,,,,,,,,,,
2005-01-13 22:06:52.927000,L5,445.37,273.41,282.12,290.80,290.45,282.98,276.34,277.25,280.58,288.13,306.98,310.28,313.66,317.37,325.59,329.79,322.05,300.35,324.57,327.31,306.15,302.88,300.33,301.22,308.87,311.34,316.78,313.41,307.20,303.06,288.81,277.94,285.13,288.12
2005-02-14 22:07:21.106000,L5,,327.72,322.49,316.89,314.77,316.19,318.92,319.27,310.59,311.99,315.76,329.41,335.42,338.41,346.18,348.78,344.96,344.31,348.95,348.50,343.02,337.93,333.12,332.46,336.74,340.58,341.01,341.22,338.51,341.67,330.55,323.02,329.26,333.59
