dates,satname,nzd0070-0000,nzd0070-0001,nzd0070-0002,nzd0070-0003,nzd0070-0010,nzd0070-0011,nzd0070-0012,nzd0070-0013,nzd0070-0014,nzd0070-0028,nzd0070-0029,nzd0070-0030,nzd0070-0032,nzd0070-0033,nzd0070-0034,nzd0070-0035,nzd0070-0036,nzd0070-0004,nzd0070-0005,nzd0070-0006,nzd0070-0007,nzd0070-0008,nzd0070-0009,nzd0070-0015,nzd0070-0016,nzd0070-0017,nzd0070-0018,nzd0070-0025,nzd0070-0026,nzd0070-0027,nzd0070-0031,nzd0070-0022,nzd0070-0023,nzd0070-0024,nzd0070-0019,nzd0070-0020,nzd0070-0021
2004-11-03 21:56:42.977000,L5,,,,,,,,,,,,226.12,280.33,295.64,299.28,360.04,,,,,,,,,,,,,,,239.18,,,,,,
2004-11-19 21:56:55.269000,L5,,,,,,,,,,,,221.28,288.84,302.49,312.14,364.48,,,,,,,,,,,,,,,245.48,,,,,,
2005-02-23 21:58:31.621000,L5,,,,,,,,,,,,208.02,279.26,286.68,297.44,340.85,411.62,,,,,,,,,,,,,,231.05,,,,,,
2005-03-11 21:58:44.158000,L5,,,,,,,,,,,,210.40,274.95,287.78,301.79,350.19,404.13,,,,,,,,,,,,,,231.88,,,,,,
2005-08-25 22:06:05.194000,L5,,,,,356.43,345.57,,,,,,,,,,,,354.44,351.64,368.06,369.47,284.71,310.61,,,,,,,,,,,,,,
2005-09-03 21:59:56.285000,L5,,,,,,,,,,,,214.22,280.17,288.09,296.20,348.03,410.74,,,,,,,,,,,,,,239.52,,,,,,
2005-11-22 22:00:23.113000,L5,,,,,,,,,,,,217.01,283.67,292.54,315.90,357.94,,,,,,,,,,,,,,,239.61,,,,,,
2006-07-04 22:04:41.660000,L5,,,,,,,,,,,,,,,,297.59,314.12,,,,,,,,,,,,,,,,,,,,
2006-09-13 22:11:23.474000,L5,,,,,,,,,,304.52,307.66,,,,,,,,,,,,,,,,,347.43,361.84,380.31,,,,,,,
2006-10-24 22:06:02.805000,L5,,,,,,,,,,,,216.62,283.44,293.65,310.50,351.25,406.39,,,,,,,,,,,,,,241.11,,,,,,
2006-12-11 22:06:28.205000,L5,,,,,,,,323.68,324.57,,278.08,292.09,320.95,358.35,374.90,379.37,,,,,,,,314.88,308.11,295.50,246.47,,,,284.12,,,,210.16,208.12,221.19
2007-01-03 22:12:49.248000,L5,,,,,,,,298.92,300.66,,,,,,,,,,,,,,,290.08,273.13,251.15,181.61,,,,,,,,162.67,160.40,
2007-02-13 22:06:47.368000,L5,,,,,,,,,,,,213.43,278.05,292.25,309.05,357.92,,,,,,,,,,,,,,,232.92,,,,,,
2008-10-29 21:55:24.451000,L5,,,,,,,,,,,,215.65,288.24,294.92,315.27,360.55,415.59,,,,,,,,,,,,,,251.45,,,,,,
2009-02-02 21:57:22.411000,L5,,,,,,,,,,,,211.12,278.92,288.32,305.54,352.71,416.44,,,,,,,,,,,,,,239.39,,,,,,
2011-09-04 22:00:27.603000,L5,,,,,,,,,341.38,,,,,,,,,,,,,,,371.87,369.79,319.44,,,,,,,,,,,
2013-08-08 22:13:49.700000,L8,,,,,,,,,,,,,,,,327.22,328.26,,,,,,,,,,,,,,,,,,,,
2013-08-31 22:19:38.558000,L8,,,,,,,,,,316.59,317.56,292.15,344.64,378.22,367.28,343.42,272.41,,,,,,,,,,,325.59,330.18,324.10,,304.06,319.78,321.43,,,
2014-01-06 22:18:54.881000,L8,,,,,,,,,,,,,,,,,290.34,,,,,,,,,,,,,,,,,,,,
2014-07-26 22:11:43.162000,L8,,,,,,,,,,283.36,,,,,,,,,,,,,,,,,,285.94,286.18,290.91,,213.62,240.46,255.96,,193.35,194.89
2014-10-14 22:12:02.705000,L8,,,,,306.03,309.89,332.92,335.70,330.83,,,,,,,,,,,,,,283.49,325.47,340.89,,,,,,,,,,,,
2016-04-26 22:11:21.230000,L8,,,,,,,,,,,,231.79,271.95,283.14,,,,,,,,,,,,,,,,,243.22,,,,,,
2016-09-24 22:18:13.790000,L8,,,,,,,,,,,,,,,,,277.09,396.09,383.52,390.82,313.55,321.83,,,,,,290.71,292.87,303.40,,,299.69,299.64,,,
2017-08-03 22:11:47.949000,L8,,,,,,,,,,,,,,,,,,308.46,344.14,347.15,357.85,,,,,,,286.78,287.18,289.57,,,,258.08,,,
2019-07-24 22:11:48.987000,L8,,,,,,323.03,334.02,331.72,345.69,,,,,,,,,,,,,,,335.39,,,,,,,,,,,,,
2020-07-26 22:11:44.648000,L8,,,,,,,,,376.56,,,,,,,,,,,,,,,386.89,355.30,,,,,,,,,,,,
2020-10-14 22:12:09.092000,L8,,,,,,,,,,,,,,,,,347.80,,,,,,,,,,,,,,,,,,,,
2021-07-04 22:17:29.944000,L8,,,,,,,,,,,,,350.89,380.09,384.11,379.10,,,,,,,,,,,,,,,,,,,,,
2021-10-01 22:12:10.732000,L8,,,,,,,,,,358.14,369.57,196.76,274.75,307.89,277.56,346.77,400.12,,,,,,,,,,,276.64,271.90,258.26,246.02,205.65,229.03,252.75,,,
2021-10-17 22:12:14.625000,L8,,,,,,,,,,316.10,229.16,218.18,311.56,302.89,273.45,350.90,405.11,,,,,,,,,,,285.48,281.76,311.06,255.06,213.20,235.95,261.32,150.90,174.05,190.27
2022-01-13 22:12:02.740000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.79,306.99,340.76,,229.17,254.22,270.37,159.92,186.76,205.95
2022-01-29 22:12:05.530000,L9,,,,,,,,,308.54,,,,,,,,,,,,,,,297.81,283.12,293.59,,286.28,275.04,,,212.91,237.04,248.49,179.06,257.55,224.08
2022-03-18 22:11:49.046000,L9,,,,,,,,,,,,218.78,302.45,310.69,295.96,353.26,411.37,,,,,,,,,,,286.87,287.55,,274.54,215.83,228.92,245.44,,,
2022-04-03 22:11:45.362000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.72,289.81,264.68,,210.18,237.82,264.35,,,
2022-05-05 22:11:31.114000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.87,294.86,275.79,,213.18,240.96,267.82,,,
2022-06-22 22:11:38.702000,L9,,,,,,,,,,,,169.41,303.28,,,,,,,,,,,,,,,298.41,304.08,301.35,274.11,216.54,252.46,266.89,,,198.56
2022-07-08 22:11:39.226000,L9,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.52,295.73,,,215.60,249.98,265.45,,,
2022-09-17 22:17:54.625000,L9,,,,406.50,,,,,,,,,,,,,,372.93,370.48,387.40,381.25,374.64,,,,,,384.22,334.01,360.49,,,,355.76,,,
2022-11-13 22:12:17.201000,L9,,,,,,,,,,,,216.01,284.97,300.62,277.32,349.33,409.79,,,,,,,,,,,289.00,284.62,274.05,254.54,210.88,237.52,257.99,,,
2023-01-24 22:12:10.678000,L8,,,,,,,,,,,,219.54,277.97,316.53,274.33,350.07,406.90,,,,,,,,,,,,,,247.56,,,,,,
2023-02-08 22:18:06.517000,L9,,,,,,,,,,,,,,,,320.41,325.30,,,,,,,,,,,,,,,,,,,,
2023-03-21 22:11:55.188000,L9,,,,,,,,,,,,266.22,287.53,321.82,315.58,360.19,403.55,,,,,,,,,,151.76,321.16,302.00,280.59,282.01,238.49,257.00,304.91,204.87,233.60,207.05
2023-03-28 22:17:57.444000,L9,,,,,,,,,,,,,,,,,363.75,,,,,,,,,,,,,,,,,,,,
2023-05-15 22:17:12.111000,L9,,,,,,,,,,,,,,,,,269.83,,,,,,,,,,,,,,,,,,,,
2023-06-09 22:11:12.914000,L9,,,,,,,,,,,,,,,,326.70,316.04,,,,,,,,,,,,,,,,,,,,
2023-07-27 22:11:26.959000,L9,,,,,,,,345.98,375.61,,,,,,,,,,,,,,,354.71,,,,,,,,,,,,,
2023-09-20 22:17:40.026000,L9,,,,,,,,,,309.39,,,,,,,,,,,,,,,,,,294.95,306.45,301.88,,284.75,292.66,300.01,,,283.60
2023-10-22 22:18:14.437000,L9,,,,,,,,,,310.46,270.04,164.06,359.21,354.40,342.05,322.39,,,,,,,,,,,,385.06,318.74,313.70,187.32,,,,,,
2024-02-19 22:17:39.652000,L8,,,,,,,,,,,,,,,,,281.39,,,,,,,,,,,,,,,,,,,,
2024-03-07 22:12:00.069000,L9,,,,,,,,,,,,,,,,,366.57,,,,,,,,,,,,,,,,,,,,
2024-05-02 22:11:08.519000,L8,,,,,,,,,,,,195.00,273.46,286.46,265.27,,,,,,,,,,,,,,,,243.29,,,,,,
2024-08-22 22:11:34.534000,L8,,,,,,,,,,,,280.83,276.51,320.77,,,,,,,,,,,,,,301.57,,,254.40,289.31,232.37,277.28,,197.16,205.45
2024-11-18 22:11:59.014000,L9,,,,,,,,,,,,209.58,277.71,303.29,273.28,346.35,409.71,,,,,,,,,,,,,,247.85,,,,,,
2024-11-25 22:18:15.850000,L9,,,,,,,,,,,,,385.93,373.84,364.25,,,,,,,,,,,,,,,,,,,,,,
2025-01-05 22:11:55.058000,L9,,,,,,,,,,,,209.50,275.18,291.80,280.07,346.48,406.64,,,,,,,,,,,,,,242.54,,,,,,
2025-01-29 22:11:52.495000,L8,,,,,,,,,,,,,,,,333.41,373.53,,,,,,,,,,,,,,,,,,,,
2025-03-09 22:17:50.622000,L8,,,,,,,,,,,,209.81,324.04,,,,,,,,,,,,,,,,,,285.21,,,,,,
2025-04-27 22:11:32.816000,L9,,,,,,,,,,,,195.35,271.81,310.26,,,,,,,,,,,,,,,,,241.71,,,,,,
2025-05-04 22:17:41.623000,L9,,,,,,306.68,309.56,320.90,326.77,,,142.13,382.00,374.79,383.96,393.71,360.58,,,,,,,331.43,329.22,332.72,,,,,228.20,,,,,,
2025-05-05 22:11:12.639000,L8,,,,,,337.48,360.51,370.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-20 22:17:30.498000,L9,,,,,338.48,376.67,371.55,,,,,194.74,,,,,,,,,,294.98,265.21,,,,,,,,238.70,,,,,,
2025-05-21 22:11:16.046000,L8,,,,,,,,,,,,,,,,324.98,356.86,,,,,,,,,,,,,,,,,,,,
2025-06-30 22:11:31.747000,L9,,,,,,,,,,,,,,,,291.47,295.95,,,,,,,,,,,,,,,,,,,,
2025-08-01 22:11:42.925000,L9,,,,,,,,335.29,347.70,,,,,,,,,,,,,,,319.41,315.11,,,,,,,,,,,,
2025-09-18 22:12:01.813000,L9,,443.05,400.49,,,,,,,,,209.32,276.00,288.12,277.91,344.85,404.08,303.56,405.81,340.64,,,,,,,,,,,244.87,,,,,,
2025-09-25 22:17:52.465000,L9,,,,,311.53,321.50,379.95,,,,,187.60,315.69,,,,,,,,,,271.83,,,,,,,,315.55,,,,,,
2025-11-05 22:12:10.440000,L9,,,,,,,,,,,,195.46,273.59,290.18,273.71,343.84,399.34,,,,,,,,,,,,,,240.32,,,,,,
