dates,satname,nzd0004-0000,nzd0004-0001,nzd0004-0002,nzd0004-0003,nzd0004-0004,nzd0004-0005,nzd0004-0006,nzd0004-0007,nzd0004-0008,nzd0004-0009,nzd0004-0010,nzd0004-0011,nzd0004-0012,nzd0004-0013,nzd0004-0014,nzd0004-0015,nzd0004-0016,nzd0004-0017,nzd0004-0018,nzd0004-0019,nzd0004-0020,nzd0004-0021,nzd0004-0022,nzd0004-0023,nzd0004-0024,nzd0004-0025,nzd0004-0026,nzd0004-0027,nzd0004-0028,nzd0004-0029,nzd0004-0030,nzd0004-0031,nzd0004-0032,nzd0004-0033,nzd0004-0034,nzd0004-0035,nzd0004-0036,nzd0004-0037,nzd0004-0038,nzd0004-0039,nzd0004-0040,nzd0004-0041,nzd0004-0042,nzd0004-0043,nzd0004-0044,nzd0004-0045,nzd0004-0046,nzd0004-0047,nzd0004-0048,nzd0004-0049,nzd0004-0050,nzd0004-0051,nzd0004-0052,nzd0004-0053,nzd0004-0054,nzd0004-0055,nzd0004-0056,nzd0004-0057,nzd0004-0058,nzd0004-0059,nzd0004-0060,nzd0004-0061,nzd0004-0062,nzd0004-0063,nzd0004-0064,nzd0004-0065,nzd0004-0066,nzd0004-0067,nzd0004-0068,nzd0004-0069,nzd0004-0070,nzd0004-0071,nzd0004-0072,nzd0004-0073,nzd0004-0074,nzd0004-0075,nzd0004-0076,nzd0004-0077,nzd0004-0078,nzd0004-0079,nzd0004-0080,nzd0004-0081,nzd0004-0082,nzd0004-0083
2003-09-05 21:54:56.069000,L5,223.97,225.09,229.25,226.99,219.05,220.01,228.56,221.50,228.54,201.19,209.06,224.81,237.43,238.01,237.24,232.00,244.95,253.32,263.74,258.67,240.62,229.97,215.36,207.99,196.63,191.52,186.25,,,,,,,,,,,,192.67,194.60,201.46,201.76,214.94,196.25,220.72,246.24,263.21,288.15,298.87,309.24,286.36,280.77,280.02,280.29,276.59,284.52,265.60,252.06,246.64,239.20,244.04,241.32,251.47,258.92,254.76,244.22,257.97,258.57,281.06,257.78,240.18,215.97,194.89,191.67,,,,,,,,,,
2003-12-26 21:56:18.593000,L5,213.84,224.32,225.86,221.33,216.69,218.91,219.36,215.36,215.59,,,213.45,229.25,231.50,234.97,229.70,244.89,247.07,251.81,246.03,226.10,220.42,211.24,207.44,200.38,195.04,,,,,,,,,,,,,,,,,,180.78,204.50,218.60,228.08,272.52,268.37,298.82,265.95,252.16,255.22,227.59,221.92,235.48,258.67,257.84,247.57,246.41,266.43,262.10,270.84,264.72,260.03,264.13,268.34,258.88,266.38,249.64,226.55,211.25,189.10,205.11,188.74,,,,,,,,,
2004-05-18 21:58:14.785000,L5,227.08,224.08,225.89,224.81,217.80,217.21,227.01,220.12,224.56,,,221.25,237.84,234.75,231.05,231.67,244.97,256.96,274.81,267.89,247.22,238.02,210.56,197.63,,,,,,,,,,,,,,,,196.00,201.40,207.09,230.93,216.52,215.10,195.35,,227.76,254.57,298.63,208.35,223.20,241.71,210.69,200.39,206.60,251.98,254.91,251.41,255.58,268.70,266.00,280.97,272.16,265.69,229.63,237.45,276.98,299.83,272.88,224.03,237.63,221.69,211.97,189.75,,,,,,,,,
2004-06-19 21:59:10.521000,L5,261.06,253.45,255.72,249.86,243.79,242.83,238.90,235.52,243.25,237.21,234.43,245.58,255.77,260.42,264.61,261.68,279.49,286.16,298.89,288.14,277.84,273.81,261.75,250.53,251.68,246.34,246.50,228.93,216.33,222.03,216.23,220.39,212.32,208.14,218.34,218.86,217.75,235.05,236.33,239.09,242.89,247.47,253.31,258.34,273.72,283.67,299.49,314.48,327.44,344.22,345.91,347.91,330.70,325.81,330.67,317.99,312.58,302.49,306.87,298.55,293.64,300.39,301.08,307.50,302.23,304.45,302.69,311.92,317.83,303.28,282.04,250.70,232.90,225.74,209.76,212.73,201.51,194.79,197.03,197.81,217.74,235.74,248.57,278.88
2004-08-22 22:00:48.706000,L5,,,,,,,,,,,,219.49,242.64,235.89,223.27,225.79,242.68,263.65,265.96,250.76,237.77,220.15,180.62,,,,,,,,,,,,,,,,,,,198.35,230.82,226.91,235.70,243.92,236.05,279.09,283.24,213.17,,,,,,,,280.50,285.07,292.09,296.35,298.97,302.02,298.65,287.90,264.09,296.74,291.95,295.00,284.22,254.86,239.88,230.79,223.75,211.53,201.27,199.19,,,,,,,
2005-01-13 22:03:41.143000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.39,264.73,313.27,328.13,313.13,300.46,301.19,282.69,241.87,245.20,270.53,277.63,277.17,266.95,272.55,274.21,273.95,285.41,277.07,294.80,290.91,302.65,303.16,283.43,251.00,234.72,222.26,210.59,199.72,189.74,200.07,204.56,209.07,212.84,203.53,,,
2005-04-03 22:04:40.528000,L5,210.98,211.29,212.73,203.00,207.68,209.48,211.87,211.32,207.57,,,215.53,223.58,224.56,227.44,223.94,241.46,244.71,251.10,242.04,222.49,214.73,208.91,202.04,185.60,,,,,,,,,,,,,,,,,,213.31,189.70,202.86,208.31,219.63,271.23,285.75,295.62,270.44,266.49,262.08,237.39,223.31,235.04,263.39,251.01,248.77,248.35,251.75,262.06,265.30,263.76,260.50,263.34,271.61,267.22,268.39,246.21,230.95,209.33,194.83,185.69,,,,,,,,,,
2005-04-19 22:04:43.597000,L5,209.77,210.03,210.12,203.93,206.17,208.16,206.26,207.51,211.74,,,213.92,224.54,220.84,228.23,222.59,239.82,242.19,248.72,241.35,220.13,213.41,209.44,201.53,187.66,,,,,,,,,,,,,,,,,,,182.63,201.89,208.88,218.64,265.50,270.83,294.50,256.20,254.17,262.86,227.66,234.88,256.16,256.26,257.19,257.86,246.99,257.68,250.48,253.61,255.11,248.28,252.39,258.53,264.37,267.88,249.10,224.61,211.38,,,,,,,,,,,,
2005-06-06 22:05:05.724000,L5,219.28,221.10,223.54,223.43,210.60,215.19,223.65,217.11,222.98,,,217.12,230.55,228.40,229.20,221.03,239.18,246.16,257.74,252.62,232.21,224.69,214.69,205.45,199.83,201.80,186.49,,,,,,,,,,,,,,,193.19,222.37,197.44,210.85,238.03,242.26,282.98,291.60,304.91,279.80,274.28,275.13,271.98,271.94,267.46,264.52,254.33,254.59,253.49,269.72,262.47,267.93,260.89,257.43,256.76,262.62,273.93,279.30,264.06,236.11,222.63,203.15,200.93,193.02,,,,,,,,,
2005-07-08 22:05:15.796000,L5,227.89,216.82,226.02,227.33,219.14,225.70,230.32,222.29,232.19,203.52,,225.26,235.70,237.24,241.12,234.46,243.21,254.96,261.76,259.58,243.12,228.91,219.70,216.07,212.83,209.46,192.60,,,,,,,,,,,,,,,184.40,223.95,206.07,225.25,242.88,256.14,256.16,259.41,291.18,229.46,242.63,261.57,269.94,279.91,276.60,275.60,270.70,265.81,257.76,275.55,272.94,274.22,263.44,273.57,256.87,265.96,278.66,292.57,263.89,240.29,222.41,213.47,204.97,196.03,185.06,,,,,,,,
