dates,satname,nzd0191-0000,nzd0191-0001,nzd0191-0002,nzd0191-0010,nzd0191-0011,nzd0191-0012,nzd0191-0013,nzd0191-0014,nzd0191-0015,nzd0191-0016,nzd0191-0017,nzd0191-0018,nzd0191-0019,nzd0191-0020,nzd0191-0021,nzd0191-0022,nzd0191-0023,nzd0191-0024,nzd0191-0025,nzd0191-0026,nzd0191-0027,nzd0191-0028,nzd0191-0029,nzd0191-0030,nzd0191-0031,nzd0191-0032,nzd0191-0033,nzd0191-0034,nzd0191-0035,nzd0191-0036,nzd0191-0037,nzd0191-0038,nzd0191-0047,nzd0191-0048,nzd0191-0049,nzd0191-0050,nzd0191-0051,nzd0191-0052,nzd0191-0053,nzd0191-0054,nzd0191-0055,nzd0191-0056,nzd0191-0057,nzd0191-0058,nzd0191-0003,nzd0191-0004,nzd0191-0005,nzd0191-0006,nzd0191-0007,nzd0191-0008,nzd0191-0009,nzd0191-0039,nzd0191-0040,nzd0191-0041,nzd0191-0042,nzd0191-0043,nzd0191-0044,nzd0191-0045,nzd0191-0046,nzd0191-0059
2004-04-02 21:45:18.969000,L5,336.68,298.35,281.73,252.40,254.34,262.69,268.04,262.74,261.76,252.80,266.86,254.64,253.59,249.22,251.98,255.31,259.18,280.25,282.71,286.79,279.63,281.99,286.96,269.67,271.62,278.09,285.76,291.69,292.10,303.04,309.06,315.33,295.49,283.24,313.81,319.80,317.29,327.59,324.32,308.72,293.32,292.49,279.88,282.24,257.16,235.81,,,,,223.74,301.58,299.41,305.56,284.54,293.89,289.76,300.84,293.52,
2004-04-18 21:45:49.558000,L5,333.58,296.22,274.77,258.47,257.70,260.66,264.35,254.39,248.61,249.04,263.33,258.02,255.80,253.91,259.16,271.73,279.55,276.65,286.55,283.59,276.46,273.93,279.52,277.98,278.58,283.21,295.06,301.65,302.00,308.37,309.67,312.19,303.47,290.37,317.37,316.47,319.07,314.73,322.46,310.61,309.82,303.37,289.00,292.65,251.43,,,,,,239.39,294.74,295.99,294.79,285.51,300.22,290.20,300.30,302.11,
2004-05-20 21:46:44.438000,L5,333.11,305.42,298.09,284.88,284.40,295.69,289.33,288.90,284.18,279.92,282.66,284.05,278.62,274.34,272.36,281.85,290.98,293.41,293.54,292.71,286.08,292.65,295.69,297.23,303.79,303.87,306.83,305.52,309.58,314.62,319.13,320.83,326.48,327.42,333.37,336.52,346.64,342.44,341.54,342.52,345.64,323.90,327.75,329.14,265.82,246.29,251.23,263.11,264.03,262.79,284.00,318.44,309.58,317.84,314.35,314.09,319.70,317.13,316.63,
2004-06-30 21:41:46.478000,L5,,,,,,,,,,,,,,,,,221.25,231.52,225.01,235.72,229.87,226.25,234.23,232.12,,,,,,,,,239.78,,,,,,,,,,,,,,,,,,,,,221.08,232.24,249.55,250.56,261.75,248.66,
2004-07-07 21:48:09.180000,L5,,,,,,,,,,,,,,,,,,,,,,,,,232.93,239.26,246.02,243.08,248.57,242.50,248.41,258.21,,,,,,,,,,,,,,,,,,,,219.30,241.11,237.12,,,,,,
2004-07-23 21:48:33.165000,L5,320.86,291.45,271.66,259.96,261.45,259.62,264.29,257.22,261.67,250.86,267.04,271.37,262.94,260.51,259.33,258.26,270.92,274.51,273.07,277.47,276.13,274.15,283.55,283.57,285.50,287.52,293.71,295.87,295.71,299.98,306.22,306.56,302.17,288.58,308.45,308.30,317.27,318.38,316.85,317.22,315.78,303.83,301.67,301.73,246.10,,,,,,249.14,294.05,294.42,304.28,291.51,305.51,299.18,302.19,305.19,
2004-08-08 21:48:50.888000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.44,258.48,,,,,,,,,,,,,,,,,,,244.19,250.21,248.21,244.94,256.94,252.67,254.60,252.05,
2004-09-25 21:50:07.312000,L5,331.91,294.48,277.20,258.78,256.03,260.83,262.45,268.25,264.36,256.80,271.95,266.63,262.43,252.09,253.18,264.70,261.13,269.37,274.95,283.84,280.53,281.88,287.30,283.56,284.75,279.27,284.57,290.53,292.40,295.47,301.13,308.88,293.84,281.50,301.71,309.57,318.17,322.16,321.13,318.52,311.63,301.74,290.68,296.67,254.62,,,,,,234.07,298.55,295.32,302.98,288.60,303.53,290.86,294.00,291.40,
2004-10-20 21:44:28.706000,L5,340.73,298.39,272.48,267.20,265.63,271.84,268.50,266.99,258.50,262.00,265.33,266.93,263.89,262.92,264.42,267.24,277.73,274.25,284.46,278.27,273.97,278.67,282.72,278.47,280.08,285.98,293.22,294.64,302.30,301.96,306.32,307.98,305.04,293.77,314.60,317.16,315.08,315.13,320.81,310.48,308.74,298.60,295.58,162.56,248.83,,,,,203.63,251.02,291.50,291.46,292.13,284.32,294.77,295.93,304.52,299.55,
2004-10-27 21:50:47.740000,L5,326.81,302.39,277.74,254.58,256.93,258.18,275.36,270.30,266.66,263.09,271.25,269.48,250.99,247.61,244.81,261.02,258.00,264.86,281.22,283.76,280.30,284.28,284.11,284.55,268.14,278.91,279.33,285.70,291.99,294.04,304.57,313.57,288.03,280.99,299.98,321.43,323.02,329.15,326.06,321.22,317.07,293.80,286.91,291.66,256.80,237.68,,,,,236.76,305.09,297.28,307.40,290.79,305.81,278.55,290.12,289.44,
2004-12-07 21:45:24.093000,L5,323.38,277.64,262.27,242.55,240.28,242.68,242.30,242.46,239.26,,,,,,,,,,,,,,,,,,,,,,281.22,275.85,286.84,275.85,292.28,299.66,298.32,303.25,308.96,306.70,306.88,295.33,284.61,289.46,236.81,,,,,214.87,232.98,265.73,281.40,283.78,280.37,291.56,284.88,293.59,287.91,
2004-12-23 21:45:40.703000,L5,334.18,288.88,263.72,249.95,250.09,257.77,256.37,255.19,252.78,254.37,270.42,268.53,265.96,263.62,261.18,260.20,262.35,266.38,272.43,270.77,273.92,280.71,283.83,282.05,283.77,282.41,279.80,257.00,263.12,266.33,295.51,299.98,293.66,291.84,312.53,301.62,299.15,314.62,314.55,307.19,303.96,303.70,300.49,295.61,247.16,,,,,,229.50,287.10,295.79,294.42,286.72,302.14,292.51,300.86,291.37,
2005-01-15 21:52:09.437000,L5,319.41,280.05,254.13,264.44,268.59,253.82,249.97,241.28,243.72,239.25,251.84,275.64,275.38,270.83,267.74,277.90,279.79,273.25,269.20,262.40,266.85,268.47,266.34,284.27,289.18,292.98,300.11,299.79,308.79,302.70,289.74,295.54,305.12,300.87,296.40,300.38,297.85,306.88,302.37,300.63,313.60,311.02,297.77,299.07,241.97,,,,,207.86,242.03,280.83,276.06,281.13,278.21,305.39,300.98,303.73,305.47,
2005-01-24 21:46:06.161000,L5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.18,,,,,,,,,,,,,,,,,,,,229.24,236.74,231.70,229.03,237.17,232.65,,,
2005-02-09 21:46:19.482000,L5,320.02,280.94,255.54,257.37,249.92,252.02,259.61,253.51,251.05,245.97,278.24,273.80,274.66,265.10,268.65,272.50,262.90,261.78,270.36,268.68,269.02,264.10,288.31,284.53,290.22,289.74,295.45,301.48,288.28,294.06,294.74,299.62,301.04,280.53,303.06,303.18,304.53,309.09,313.28,318.96,319.62,306.81,305.18,301.78,237.54,,,,,214.13,244.56,286.62,284.44,297.04,298.50,306.17,301.86,306.43,303.13,
2005-02-25 21:46:35.721000,L5,,,,,,,,,,,,,,,,,,,,,,,229.67,204.72,219.11,222.52,238.45,228.32,239.59,226.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-04 21:52:52.217000,L5,341.69,296.76,265.71,262.73,263.66,266.55,268.80,256.42,251.73,250.25,263.03,258.70,259.25,259.18,261.09,272.99,276.14,276.56,286.47,275.96,277.18,277.18,280.64,279.19,281.82,287.18,296.19,298.67,302.12,308.22,307.04,310.46,303.55,295.92,312.36,318.50,313.34,322.04,313.21,311.72,309.94,297.34,290.05,297.25,248.75,,,,,211.01,242.80,294.17,292.55,298.16,285.65,296.31,289.80,299.60,304.05,
2005-03-13 21:46:47.612000,L5,329.22,288.02,262.99,254.11,253.20,257.57,253.17,257.33,247.55,252.84,259.41,260.01,258.75,255.51,249.32,257.61,261.53,270.82,271.08,272.39,275.88,273.70,272.06,271.73,275.34,280.20,284.53,291.07,291.49,294.70,299.99,301.74,296.23,283.50,304.11,306.07,312.32,315.22,313.70,307.25,301.18,292.23,285.51,282.38,251.22,,,,,206.07,233.57,292.05,285.69,288.82,283.03,288.44,290.45,291.15,289.29,
2005-04-21 21:53:10.893000,L5,332.18,290.57,267.39,254.93,259.68,260.39,260.70,255.11,255.38,243.90,260.37,260.01,255.17,254.42,248.35,261.85,272.11,275.45,275.55,277.92,278.42,273.67,275.07,277.07,276.79,278.92,288.87,293.12,301.19,301.35,307.22,307.12,301.48,289.13,307.79,319.23,316.10,320.90,310.77,306.44,305.86,294.89,285.61,283.82,247.41,,,,,,231.37,296.56,292.05,292.04,283.33,293.73,289.49,296.16,294.63,
