dates,nzd0212-0000,nzd0212-0001,nzd0212-0002,nzd0212-0003,nzd0212-0004,nzd0212-0005,nzd0212-0006,nzd0212-0007,nzd0212-0008,nzd0212-0014,nzd0212-0015,nzd0212-0016,nzd0212-0017,nzd0212-0018,nzd0212-0019,nzd0212-0020,nzd0212-0021,nzd0212-0022,nzd0212-0023,nzd0212-0024,nzd0212-0025,nzd0212-0026,nzd0212-0027,nzd0212-0028,nzd0212-0029,nzd0212-0030,nzd0212-0031,nzd0212-0032,nzd0212-0033,nzd0212-0034,nzd0212-0035,nzd0212-0036,nzd0212-0037,nzd0212-0042,nzd0212-0043,nzd0212-0044,nzd0212-0045,nzd0212-0046,nzd0212-0047,nzd0212-0048,nzd0212-0049,nzd0212-0050,nzd0212-0051,nzd0212-0052,nzd0212-0053,nzd0212-0054,nzd0212-0055,nzd0212-0056,nzd0212-0057,nzd0212-0058,nzd0212-0059,nzd0212-0060,nzd0212-0061,nzd0212-0062,nzd0212-0009,nzd0212-0010,nzd0212-0011,nzd0212-0012,nzd0212-0013,nzd0212-0038,nzd0212-0039,nzd0212-0040,nzd0212-0041
2004-10-27 21:50:47+00:00,307.54333333333335,307.135,292.88000000000005,294.49,291.1566666666667,299.7575,241.04000000000002,,297.35,290.99749999999995,312.945,324.43666666666667,340.04,338.06333333333333,352.94,314.30333333333334,354.79999999999995,349.055,353.08,,345.87,333.125,306.52,326.42333333333335,310.4825,314.65666666666664,324.9066666666667,325.28,292.23,265.6266666666666,,,,244.42999999999998,320.19,325.29333333333335,311.9375,303.33500000000004,307.7725,302.755,300.42,293.85,276.35333333333335,,298.4733333333333,320.15999999999997,304.9433333333333,309.20000000000005,312.2266666666667,282.435,,,246.61500000000004,,,,,,173.56,,,,204.43
2005-03-04 21:52:52+00:00,307.06666666666666,306.71000000000004,296.2366666666667,297.10999999999996,283.81,290.6933333333333,225.63,,297.35,293.55333333333334,330.9166666666667,334.0833333333333,340.8,348.98,352.64000000000004,355.4266666666667,349.05999999999995,347.81,343.49,334.65,337.88,330.9266666666667,330.59999999999997,328.49666666666667,326.5233333333333,329.9266666666667,339.3066666666667,343.01666666666665,309.54,267.00666666666666,,,,250.40666666666667,327.43333333333334,327.3566666666666,332.09,323.2766666666667,316.4,,301.94,,307.83,309.03,318.22,321.3,312.87,322.12333333333333,317.7266666666667,299.06666666666666,,,,,,,,,176.65,,,,208.875
2005-04-21 21:53:10+00:00,305.3,306.71000000000004,292.49,301.3766666666667,282.06,282.62,223.37,,,292.13999999999993,324.815,331.43499999999995,337.27500000000003,345.69000000000005,348.43500000000006,349.91499999999996,329.0933333333333,343.68500000000006,333.9,334.65,329.89,328.78999999999996,326.04499999999996,324.16499999999996,323.21000000000004,326.3666666666667,336.78000000000003,339.34499999999997,304.115,263.58000000000004,193.79,,181.25,262.8633333333333,325.41333333333336,324.08,328.10499999999996,320.54,306.6,,301.94,,306.06,309.03,313.1033333333333,320.4166666666667,313.52666666666664,316.5833333333333,315.4433333333334,298.2966666666667,,,,,,,,,171.11,201.48,,199.38,208.875
2005-06-08 21:53:33+00:00,303.87,316.56,305.72,309.995,282.83000000000004,287.54,219.62,,,289.28999999999996,326.79,337.5,342.32,349.1,352.04,357.13,321.13,345.32,333.9,334.65,329.89,326.53,324.57,325.12,328.11,332.57,343.32000000000005,343.94,301.3,260.65,193.79,,181.25,278.73999999999995,328.615,326.005,332.34,325.49,,271.87,303.46,,304.9,309.03,309.55999999999995,322.25,313.025,317.015,317.855,300.42500000000007,,,208.66,,,,,,171.11,201.48,,199.38,218.24
2005-10-30 21:54:03+00:00,305.92,313.68,300.28,290.49,292.15,292.59,,,,316.33,337.63,335.95,341.07,347.04,354.59,363.84,,,,366.21,363.83,353.75,,343.63,346.55,337.93,348.06,355.02,350.37,,,,,,335.82,339.3,,,,271.87,,,,,,,353.19,351.37,342.2,319.2,,307.23,208.66,,,,,,251.79,,,,
2005-11-15 21:54:26+00:00,311.90333333333336,311.82500000000005,299.54499999999996,299.93,297.015,296.67999999999995,248.33,,,322.7,337.13,335.69,338.435,346.315,354.25,359.83,355.15,362.32,361.67,359.54999999999995,354.95,346.685,,343.63,345.89,336.775,346.85,351.625,338.425,289.2,188.54,,208.47,291.44,332.505,330.675,,325.63,,271.87,,,,,337.97,338.81,344.125,346.28,338.56,322.73,,308.865,208.66,,,,,,257.055,207.3,217.83,,241.71
2006-06-27 21:58:48+00:00,295.31,306.39,298.66,291.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.1,,,,,,,,,,
2006-07-13 21:59:02+00:00,298.33000000000004,310.055,298.66,293.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259.6,,,,,,,,,,,231.3,,,,,,,,,,
2009-12-12 21:56:37+00:00,308.37,313.54,287.5,282.0,,263.02,,,,,,,,,,,,352.55,343.82,345.19,341.37,334.02,329.88,325.92,330.83,333.14,338.41,338.03,318.01,275.1,191.9,,,,,,,,,,,,332.53,323.03,329.02,318.93,320.55,329.49,315.89,307.15,,304.75,,,,,,,,,,,
2010-01-13 21:56:49+00:00,307.235,311.83500000000004,284.33500000000004,273.7,,257.575,,,,311.26,330.64,328.86,328.59,330.15,337.81,344.22,345.79,350.8,343.82,342.755,335.62,329.585,324.87,322.105,327.745,329.03499999999997,337.755,338.54499999999996,320.28999999999996,274.175,185.88,,,260.45,329.98,326.51,331.28,,315.94,,323.53,,327.515,324.94,326.185,318.43,317.745,327.05,315.15999999999997,307.53999999999996,306.9,304.56,,,,,,,,,,,216.17
2010-01-29 21:56:53+00:00,312.0466666666667,315.23333333333335,293.1033333333333,284.68,313.23,257.575,265.04,,,313.245,335.51,334.95000000000005,330.325,330.475,339.095,346.805,342.94500000000005,346.6033333333333,343.82,342.1066666666666,335.92333333333335,328.2966666666667,325.34666666666664,328.93,329.02,331.88666666666666,339.85333333333335,338.31666666666666,325.2366666666667,282.8666666666667,189.8166666666667,,207.58,275.06,330.185,330.49,334.78999999999996,,315.94,,322.505,,326.3666666666666,322.93666666666667,327.21666666666664,321.73,320.00333333333333,329.47333333333336,317.23333333333335,311.69,310.945,304.88,,,,,,,,213.84,210.82,,232.83999999999997
2010-10-28 21:55:51+00:00,,,,273.35,,212.86,,,,308.92,334.86,338.89,341.39,343.74,338.5,355.47,302.32,,,,328.98,330.08,,325.55,325.0,325.66,333.37,344.86,327.36,279.78,,,,239.07,330.71,327.07,346.72,335.65,333.56,,,,329.06,,335.2,330.56,321.94,329.05,319.88,308.87,308.34,312.01,,,,,,,,,,,
2010-11-20 22:02:01+00:00,,,,273.35,,212.86,,,,308.92,334.86,338.89,341.39,343.74,338.5,355.47,302.32,,,,328.98,330.08,,325.55,325.0,325.66,333.37,344.86,327.36,279.78,,,,239.07,330.71,327.07,346.72,335.65,333.56,,,,329.06,,335.2,330.56,321.94,329.05,319.88,308.87,308.34,312.01,211.98,,,,,,,,,,
