dates,satname,nzd0152-0000,nzd0152-0001,nzd0152-0002,nzd0152-0003,nzd0152-0004,nzd0152-0005,nzd0152-0006,nzd0152-0011,nzd0152-0012,nzd0152-0007,nzd0152-0008,nzd0152-0009,nzd0152-0010
2017-03-05 22:05:50.977000,L8,355.85,338.73,289.97,292.82,277.95,282.44,288.85,276.20,280.57,280.88,278.93,276.47,265.68
2017-04-06 22:05:10.007000,L8,300.99,305.99,297.79,302.14,286.25,287.73,292.91,283.46,284.40,287.56,283.83,282.15,273.23
2017-04-06 22:05:33.966000,L8,300.48,304.69,296.76,301.35,285.24,286.94,292.22,281.48,283.56,286.28,282.44,280.27,271.10
2017-05-08 22:04:59.325000,L8,279.53,279.53,281.59,284.00,,,,262.42,264.66,,,,
2017-05-08 22:05:23.284000,L8,279.16,279.50,281.78,284.01,,,,262.76,265.20,,,,
2017-05-24 22:05:10.453000,L8,,,,,,,,262.36,264.55,,,,
2017-05-24 22:05:34.407000,L8,,,,,,,,260.19,263.73,,,,
2017-07-11 22:05:26.464000,L8,,,,,,,,271.26,270.49,275.82,272.17,267.64,261.71
2017-07-11 22:05:50.423000,L8,,,,,,,,268.70,269.17,274.04,270.21,265.34,259.72
2017-12-02 22:05:46.939000,L8,300.65,303.69,294.45,299.56,280.04,282.40,,274.70,278.57,280.94,278.96,273.81,266.83
2017-12-02 22:06:10.894000,L8,300.39,302.96,293.75,298.95,278.95,281.64,,273.73,276.56,279.79,276.86,271.88,266.29
2017-12-18 22:05:49.621000,L8,350.31,304.37,297.23,303.55,284.23,287.47,292.24,277.99,281.59,285.97,281.60,278.20,270.45
2018-01-19 22:05:38.704000,L8,276.61,273.53,280.81,281.39,,,,,,,,,
2018-01-19 22:06:02.658000,L8,276.68,275.54,280.51,281.15,,,,,,,,,
2018-03-08 22:05:15.942000,L8,310.76,310.78,296.27,303.85,284.24,287.89,292.14,277.34,282.10,288.20,280.58,277.96,270.98
2018-03-08 22:05:39.901000,L8,283.59,284.42,283.62,289.25,,,,264.86,267.47,,,,
2018-04-25 22:04:50.953000,L8,288.29,296.51,291.04,294.01,279.39,281.57,,273.91,277.44,280.96,276.81,275.47,264.07
2018-04-25 22:05:14.903000,L8,289.26,297.27,291.94,295.11,280.13,282.64,,274.70,278.20,281.99,277.63,276.62,265.13
2018-05-27 22:04:28.824000,L8,299.72,297.16,288.86,297.32,301.61,339.28,308.77,282.44,288.20,294.48,294.35,286.06,276.17
2018-06-28 22:04:40.307000,L8,,,,,,,,263.33,265.17,,,,
2018-06-28 22:05:04.262000,L8,287.24,287.14,284.24,291.18,271.37,273.24,,267.38,270.44,,,,
2018-08-31 22:05:11.322000,L8,284.28,281.05,283.83,288.32,,,,,,,,,
2018-08-31 22:05:35.273000,L8,299.37,290.23,292.81,300.04,278.49,279.80,,,,,,,
2018-10-02 22:05:23.291000,L8,295.03,299.17,291.58,298.51,280.44,284.24,292.40,277.89,278.51,282.80,281.33,280.54,266.74
2018-10-02 22:05:47.245000,L8,295.46,299.29,291.59,298.49,280.11,284.32,292.34,277.30,278.17,282.49,281.30,279.75,266.53
2018-10-18 22:05:29.751000,L8,287.84,288.90,290.12,296.71,278.51,280.25,,276.86,276.56,281.20,277.17,274.15,265.78
2018-10-18 22:05:53.709000,L8,287.84,288.99,289.67,296.34,278.13,280.04,,276.71,275.62,280.77,277.04,273.73,265.29
2018-11-03 22:05:33.462000,L8,283.47,275.72,282.52,287.55,,,,263.06,268.30,,,,
2018-11-03 22:05:57.421000,L8,,,,,,,,,260.71,,,,
2018-11-19 22:05:34.273000,L8,294.88,311.82,295.66,300.79,280.70,285.62,285.32,274.90,278.12,281.07,276.18,271.80,264.80
2018-12-05 22:05:56.093000,L8,292.29,289.34,290.05,297.22,,,,270.59,272.91,,,268.52,262.40
2019-01-06 22:05:29.894000,L8,355.73,340.47,296.86,302.48,283.22,285.12,292.37,274.91,279.19,285.15,281.13,275.62,269.96
2019-01-06 22:05:53.844000,L8,355.56,340.04,295.83,301.31,281.73,283.97,291.32,273.60,277.95,283.73,279.87,272.68,268.46
2019-01-22 22:05:26.296000,L8,352.26,343.59,295.78,301.22,285.02,286.47,292.04,277.78,282.66,287.24,283.55,279.70,268.27
