dates,satname,nzd0277-0000,nzd0277-0001,nzd0277-0002,nzd0277-0003,nzd0277-0004,nzd0277-0005,nzd0277-0006,nzd0277-0007,nzd0277-0008,nzd0277-0009,nzd0277-0010,nzd0277-0012,nzd0277-0013,nzd0277-0014,nzd0277-0015,nzd0277-0011,nzd0277-0016,nzd0277-0017,nzd0277-0018,nzd0277-0019,nzd0277-0020,nzd0277-0021,nzd0277-0022,nzd0277-0023,nzd0277-0024,nzd0277-0025,nzd0277-0026,nzd0277-0027,nzd0277-0028,nzd0277-0029,nzd0277-0030,nzd0277-0031,nzd0277-0032,nzd0277-0033,nzd0277-0034,nzd0277-0042,nzd0277-0043,nzd0277-0044,nzd0277-0036,nzd0277-0037,nzd0277-0038,nzd0277-0035,nzd0277-0048,nzd0277-0039,nzd0277-0040,nzd0277-0041,nzd0277-0045,nzd0277-0046,nzd0277-0047,nzd0277-0049,nzd0277-0050
2015-08-14 22:12:19.348000,L8,294.01,281.24,277.74,269.87,274.20,280.55,283.45,289.67,283.21,279.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-01 22:12:37.882000,L8,335.40,336.46,297.72,297.86,300.11,339.23,323.45,324.25,364.64,344.89,340.45,351.35,366.51,390.90,,317.00,343.44,338.13,350.71,336.76,315.16,,,315.04,297.38,261.03,,,,,,,,,,,,,286.53,315.95,,353.53,,,,,,,,,
2015-11-11 22:06:32.057000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260.04,,,292.97,334.86,323.35,,,,,
2015-12-20 22:12:45.414000,L8,292.89,273.84,279.15,280.33,278.10,288.14,295.28,301.34,299.74,291.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-05 22:12:41.193000,L8,286.87,271.92,275.62,271.55,276.23,283.88,290.59,294.06,296.52,285.72,255.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-02-06 22:12:37.834000,L8,304.33,288.61,287.80,278.48,281.25,294.49,346.24,307.13,299.45,282.59,252.17,319.21,335.75,312.60,301.23,256.39,311.01,268.97,256.69,,,,,,,,,,,,,,,,,,,,,,,,320.67,,,,,,,,
2016-02-22 22:12:30.494000,L8,314.55,294.53,293.64,286.89,291.39,291.81,288.02,291.77,303.85,303.41,248.91,250.45,310.96,317.37,283.78,251.11,277.07,277.41,265.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-10 22:12:13.580000,L8,316.94,295.16,293.51,283.96,289.39,324.10,315.68,305.15,316.80,323.24,267.31,270.71,265.82,312.94,311.60,274.13,280.32,276.91,262.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-26 22:12:09.135000,L8,295.68,281.62,282.61,277.02,280.60,287.18,296.59,296.10,300.90,293.16,262.40,251.96,257.82,277.86,287.75,237.69,282.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-20 22:12:57.326000,L8,288.18,271.80,274.85,269.89,275.47,282.35,300.91,301.63,305.86,283.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-22 22:12:51.023000,L8,287.41,274.28,276.33,271.21,277.48,285.01,294.65,299.16,300.34,283.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-16 22:12:19.761000,L8,322.23,295.33,294.24,288.89,288.03,302.85,307.76,316.88,318.48,340.69,294.80,242.35,,,,248.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-18 22:12:28.334000,L8,303.57,279.93,285.35,290.57,278.71,293.83,298.64,306.25,310.16,303.39,262.52,242.54,,,,242.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-02 22:11:45.778000,L8,340.09,303.12,316.43,320.08,293.52,360.82,386.92,395.12,365.54,379.13,310.78,300.11,306.91,303.63,368.89,327.54,376.74,359.73,272.36,,,,,,,,,,,,,,298.55,282.58,279.42,,,,311.60,262.09,,310.91,,,,,,,,,
2018-05-27 22:05:16.737000,L8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.66,326.67,,,254.38,338.31,257.68,,,,,,300.26,368.88,381.43,,,,,
2018-06-19 22:11:33.551000,L8,294.56,277.47,276.26,270.96,277.26,288.74,295.50,304.70,312.27,306.89,262.04,249.10,,,,247.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
