dates,nzd0327-0000,nzd0327-0001,nzd0327-0002,nzd0327-0003,nzd0327-0004,satname
2004-06-23 21:36:10.798,238.865,233.67499999999998,232.95,299.98285714285714,309.5414285714286,L5
2004-06-23 21:36:34.771,238.865,233.67499999999998,232.95,295.7925,304.92375000000004,L5
2004-08-26 21:38:11.507,237.91750000000002,238.05666666666664,232.95,298.59999999999997,307.62857142857143,L5
2004-09-18 21:44:34.791,239.2775,237.70666666666668,266.13,300.61285714285714,309.15714285714284,L5
2004-10-20 21:45:16.509,229.365,228.33333333333334,241.475,301.175,308.6433333333333,L5
2004-11-30 21:39:51.941,226.58200000000002,227.1925,237.77666666666664,299.8457142857143,307.0657142857143,L5
2004-11-30 21:40:15.914,225.09166666666667,227.388,237.465,299.46625,306.425,L5
2004-12-16 21:40:34.991,225.17142857142858,226.765,236.35999999999999,293.935,300.7375,L5
2005-01-17 21:40:37.592,222.98142857142858,225.4433333333333,239.46666666666667,296.0514285714286,304.51142857142855,L5
2005-01-17 21:41:01.708,224.095,226.72571428571428,241.8742857142857,298.04,307.355,L5
2005-02-18 21:41:06.279,227.8688888888889,228.58249999999998,246.10500000000002,300.7811111111111,310.46,L5
2005-02-18 21:41:30.252,230.536,229.9377777777778,249.57666666666668,302.807,312.885,L5
2005-05-09 21:41:44.008,234.1,232.05,251.89142857142858,303.025,314.29375,L5
2005-05-09 21:42:07.981,234.0925,232.35625,252.83625,303.5144444444444,315.43333333333334,L5
2005-05-25 21:41:52.011,234.7555555555556,232.89777777777778,254.29666666666668,304.48199999999997,316.48,L5
2005-05-25 21:42:16.127,234.52799999999996,232.776,254.71999999999997,304.73909090909086,316.86545454545455,L5
2005-06-01 21:48:06.521,234.31111111111113,230.9222222222222,252.31666666666672,304.00100000000003,317.411,L5
2005-06-10 21:42:00.075,229.728,227.717,245.59900000000002,301.3963636363637,314.3109090909091,L5
2005-06-10 21:42:24.190,225.8790909090909,225.11363636363637,239.99818181818182,299.22499999999997,311.74583333333334,L5
2005-06-26 21:42:28.501,222.56272727272727,223.3681818181818,236.0845454545455,298.0625,310.405,L5
2005-07-12 21:42:11.363,222.53333333333333,223.10333333333332,236.0845454545455,297.8992307692307,310.05846153846153,L5
2005-07-12 21:42:35.336,220.69461538461536,221.90461538461537,232.54999999999998,296.6878571428571,308.38499999999993,L5
2005-07-28 21:42:21.805,220.24916666666664,221.165,231.93,295.4976923076923,306.5930769230769,L5
2005-07-28 21:42:45.778,220.24916666666664,221.165,231.93,293.795,306.5930769230769,L5
2005-08-13 21:42:53.446,221.9984615384615,222.61307692307693,235.45666666666668,294.8786666666667,307.59000000000003,L5
2005-08-20 21:48:42.854,218.03083333333333,220.07333333333335,229.2681818181818,291.69571428571425,303.77923076923076,L5
2005-08-29 21:42:34.821,219.95,221.43846153846155,232.9025,293.17133333333334,305.3728571428572,L5
2005-08-29 21:42:58.794,221.53714285714287,222.60357142857146,236.15692307692305,294.48,306.758,L5
2005-09-30 21:42:58.225,221.85,222.70200000000003,236.9542857142857,295.0705882352941,307.369375,L5
2005-11-08 21:48:52.559,222.21599999999998,223.0186666666667,237.11071428571427,296.11875000000003,307.40066666666667,L5
2006-01-20 21:44:25.094,238.05124999999998,234.59375,262.28249999999997,304.0111111111112,318.03875,L5
2006-01-20 21:44:49.210,236.75,234.49444444444447,260.62888888888887,303.735,317.53,L5
2006-02-05 21:45:11.980,235.0811111111111,233.48000000000002,256.6666666666667,305.74222222222227,315.90999999999997,L5
2006-02-12 21:51:08.090,235.44222222222223,233.5244444444444,256.19666666666666,306.5,316.11555555555555,L5
2006-02-21 21:45:08.534,233.39111111111112,232.50444444444443,253.70555555555555,305.11,315.00777777777773,L5
2006-02-21 21:45:32.507,234.66,233.14600000000002,254.917,305.745,316.601,L5
2006-02-28 21:51:28.213,234.29777777777775,232.82555555555552,252.7233333333333,306.8122222222222,317.22444444444443,L5
2006-03-09 21:45:28.526,233.592,231.887,251.60699999999997,306.07800000000003,316.514,L5
2006-03-09 21:45:52.499,233.11909090909091,231.22181818181818,250.78727272727272,305.54818181818183,316.0090909090909,L5
2006-04-26 21:46:20.696,232.03181818181818,230.47454545454548,247.51000000000002,304.6054545454545,314.8790909090909,L5
2006-04-26 21:46:44.812,229.1783333333333,228.57083333333333,243.26083333333335,302.8591666666667,313.1141666666667,L5
2006-06-13 21:47:01.718,228.23727272727274,223.94916666666668,235.92666666666665,300.4633333333333,311.49916666666667,L5
2006-06-13 21:47:25.691,228.23727272727274,225.16692307692307,235.92666666666665,300.4633333333333,311.49916666666667,L5
2006-07-22 21:53:46.375,225.283,221.91750000000002,230.90727272727273,296.7290909090909,308.81,L5
2006-09-01 21:48:31.320,212.66666666666666,214.46625,215.56714285714287,286.2142857142857,301.0571428571429,L5
2006-09-17 21:48:42.941,207.754,212.70285714285714,209.44833333333335,283.30833333333334,300.0733333333333,L5
2006-10-10 21:54:44.695,210.35,214.39374999999998,212.56,283.82857142857137,301.3157142857143,L5
2006-11-20 21:49:20.699,216.754,217.49142857142857,222.75666666666666,283.54,306.46666666666664,L5
2006-12-06 21:49:29.117,219.80666666666664,219.23375,227.57,286.95285714285717,310.4171428571429,L5
2007-01-07 21:49:43.456,219.80666666666664,217.53571428571428,232.23571428571427,285.4985714285714,314.06333333333333,L5
2007-02-08 21:49:26.499,227.15666666666667,220.66285714285715,237.68714285714285,288.41285714285715,315.7416666666666,L5
2011-01-02 21:44:23.135,222.06,221.59,225.73,286.58,308.59,L5
2011-01-25 21:50:35.036,225.25,225.53,236.495,287.03999999999996,308.485,L5
2011-10-24 21:48:35.845,238.09,230.79,272.82,311.83,329.85,L5
2013-05-15 21:56:27.145,,183.23,189.15,260.12,266.26,L8
2013-05-31 21:56:31.642,,185.805,190.64,261.235,269.145,L8
2013-05-31 21:56:55.601,,185.11333333333332,190.04666666666665,259.92,264.4866666666666,L8
2013-06-07 22:02:40.903,192.17,185.615,190.1475,260.86,265.84,L8
2013-06-23 22:02:34.637,194.795,186.128,190.246,262.508,268.408,L8
2013-07-18 21:56:26.327,194.38666666666666,186.53666666666666,190.725,263.09,269.6583333333333,L8
2013-07-18 21:56:50.290,193.51999999999998,186.48285714285717,190.78714285714287,263.26714285714286,270.2471428571429,L8
2013-07-25 22:02:37.865,193.238,186.54125,190.88875,263.2425,270.7425,L8
2013-10-06 21:56:21.607,200.14499999999998,189.6688888888889,196.06333333333333,265.90444444444444,275.0422222222222,L8
2013-10-06 21:56:45.562,205.1,192.35999999999999,200.666,268.197,278.629,L8
2013-10-29 22:02:22.230,209.17374999999998,194.72454545454545,203.79272727272726,270.2245454545455,280.83272727272725,L8
2013-11-14 22:02:21.400,211.0922222222222,197.37545454545455,206.04181818181817,271.57727272727277,282.5109090909091,L8
2013-11-23 21:56:03.944,213.087,198.43083333333334,207.1475,272.94416666666666,283.9058333333333,L8
2013-11-23 21:56:27.903,214.7681818181818,199.36615384615382,208.39615384615385,274.18230769230775,285.16999999999996,L8
2013-11-30 22:02:16.559,215.36666666666667,202.785,211.7125,276.5491666666666,288.9658333333333,L8
2013-12-16 22:02:09.908,219.34,206.19833333333335,214.3175,278.84250000000003,291.92833333333334,L8
2014-02-11 21:55:20.778,229.6422222222222,213.28555555555556,223.0988888888889,283.22222222222223,297.31999999999994,L8
