dates,satname,nzd0557-0000,nzd0557-0001,nzd0557-0002,nzd0557-0003,nzd0557-0004,nzd0557-0005,nzd0557-0006,nzd0557-0007,nzd0557-0008,nzd0557-0009,nzd0557-0010,nzd0557-0011,nzd0557-0012,nzd0557-0013,nzd0557-0014,nzd0557-0015,nzd0557-0016,nzd0557-0017,nzd0557-0018,nzd0557-0019,nzd0557-0020,nzd0557-0021,nzd0557-0022,nzd0557-0023,nzd0557-0024,nzd0557-0025,nzd0557-0026,nzd0557-0027,nzd0557-0028,nzd0557-0029,nzd0557-0030,nzd0557-0031,nzd0557-0032,nzd0557-0033,nzd0557-0034,nzd0557-0035,nzd0557-0036,nzd0557-0037,nzd0557-0038,nzd0557-0039,nzd0557-0040,nzd0557-0041,nzd0557-0042,nzd0557-0043,nzd0557-0044,nzd0557-0045,nzd0557-0046,nzd0557-0047,nzd0557-0048,nzd0557-0049
2007-02-04 22:15:45.266000,L5,341.45,324.09,315.75,306.24,296.92,289.85,277.55,273.19,270.97,272.28,271.63,272.52,268.95,268.24,267.24,272.02,285.39,283.33,272.17,261.80,252.03,242.80,245.52,249.10,252.31,257.71,265.94,266.61,263.46,241.73,230.51,217.99,209.97,206.23,214.28,218.67,192.69,169.40,,,149.77,147.85,159.20,169.44,170.35,182.16,203.23,217.78,204.23,213.52
2007-10-02 22:13:42.645000,L5,272.68,259.52,261.93,253.03,257.28,267.49,273.98,269.15,265.34,264.26,263.28,263.37,260.18,258.83,259.29,262.82,274.84,269.57,250.86,241.82,227.67,218.46,222.70,233.77,202.06,,248.17,257.16,257.81,240.96,223.22,212.06,213.26,207.11,206.21,201.55,175.66,,,,,,,,,,,,,
2010-10-26 22:10:38.745000,L5,313.77,295.84,289.52,284.24,279.74,267.28,258.73,252.57,246.69,247.16,252.50,248.69,246.03,243.63,245.21,248.78,261.67,256.84,250.92,245.87,236.05,232.30,233.19,235.34,240.79,247.73,257.06,266.58,250.22,230.04,217.04,211.75,207.89,200.33,201.73,220.94,196.99,165.84,137.90,158.82,169.39,177.59,179.20,184.04,192.58,207.94,226.45,239.93,244.66,271.51
2010-11-27 22:10:35.713000,L5,327.59,311.36,299.61,296.29,292.83,285.83,276.67,272.70,266.16,260.95,262.07,260.77,253.00,249.31,254.21,258.43,266.82,265.63,252.50,242.09,229.00,228.45,235.78,237.44,243.92,247.81,255.70,266.30,265.16,245.28,218.41,207.58,204.48,202.33,202.68,199.60,184.54,160.19,,,155.08,164.56,178.01,173.65,166.15,174.87,174.45,224.59,204.82,222.64
2013-05-11 22:22:42.945000,L8,310.07,280.66,281.85,276.20,272.55,263.35,236.89,251.10,249.26,243.57,239.81,235.47,212.97,183.78,196.58,194.83,215.59,232.42,228.55,217.71,193.92,139.52,146.80,171.37,190.03,203.56,188.73,219.56,225.78,214.80,194.63,186.49,184.24,180.60,175.15,175.68,157.95,,,,,,,,142.33,155.29,167.36,180.91,171.40,191.18
2013-10-02 22:22:40.460000,L8,322.18,307.70,294.17,286.76,282.59,275.82,270.93,266.17,262.46,259.54,253.25,251.89,251.04,252.20,251.77,256.14,264.27,260.02,247.88,239.27,227.32,217.40,218.33,224.23,227.25,230.58,240.83,250.82,248.70,227.31,210.98,202.19,198.97,198.05,195.73,196.47,174.65,148.14,,,143.77,154.51,165.32,165.96,165.68,173.19,188.05,204.18,194.40,211.63
2013-10-18 22:22:37.411000,L8,322.54,306.48,296.02,290.18,283.50,277.85,272.62,265.92,264.08,259.64,252.78,250.94,250.42,252.65,253.62,257.75,264.69,259.44,245.57,238.94,228.89,221.80,221.82,225.28,228.24,231.33,239.65,251.29,248.94,228.41,211.74,205.38,201.10,200.70,201.80,206.45,182.64,150.98,,,146.52,157.11,168.54,174.72,168.00,173.70,190.09,209.31,205.14,221.93
2014-02-23 22:21:32.043000,L8,352.15,352.56,339.79,329.37,320.27,316.40,309.39,302.45,293.56,287.14,285.42,285.64,285.57,283.89,270.23,288.65,301.56,295.94,278.35,270.64,262.61,255.06,259.78,266.21,265.19,445.87,473.20,489.15,480.49,264.35,248.02,240.21,237.32,236.54,231.28,232.32,211.32,189.28,,152.24,178.10,186.44,191.19,195.33,199.53,203.67,221.00,227.79,212.20,215.36
2014-03-11 22:21:19.920000,L8,319.17,306.69,293.42,287.01,283.69,277.34,271.04,264.12,264.74,259.03,253.54,251.71,253.30,255.02,253.37,258.38,265.75,261.03,250.93,242.46,231.52,224.87,223.58,229.07,230.03,232.66,241.58,252.61,251.22,237.36,218.79,209.11,201.70,204.20,209.00,216.06,172.90,150.77,,,146.92,153.96,166.03,170.65,168.98,177.34,190.38,206.96,196.78,210.57
2014-07-17 22:20:39.943000,L8,323.66,313.73,299.15,293.05,282.32,281.56,273.76,268.95,264.16,260.99,253.97,253.85,251.72,259.45,259.83,259.70,266.77,264.48,252.07,243.37,235.44,230.87,232.25,232.00,233.96,233.34,244.43,255.85,252.97,233.81,218.35,207.56,202.47,200.09,195.29,207.93,174.63,148.60,,,153.13,158.93,185.82,185.61,193.07,204.81,225.12,232.77,215.69,231.46
