dates,satname,nzd0393-0000,nzd0393-0001,nzd0393-0002,nzd0393-0003,nzd0393-0004,nzd0393-0005,nzd0393-0006,nzd0393-0007,nzd0393-0008,nzd0393-0009,nzd0393-0010,nzd0393-0011,nzd0393-0012,nzd0393-0020,nzd0393-0021,nzd0393-0022,nzd0393-0023,nzd0393-0024,nzd0393-0025,nzd0393-0026,nzd0393-0027,nzd0393-0028,nzd0393-0029,nzd0393-0030,nzd0393-0031,nzd0393-0032,nzd0393-0033,nzd0393-0034,nzd0393-0035,nzd0393-0036,nzd0393-0037,nzd0393-0038,nzd0393-0039,nzd0393-0040,nzd0393-0041,nzd0393-0042,nzd0393-0043,nzd0393-0044,nzd0393-0045,nzd0393-0046,nzd0393-0047,nzd0393-0048,nzd0393-0049,nzd0393-0050,nzd0393-0051,nzd0393-0052,nzd0393-0053,nzd0393-0054,nzd0393-0055,nzd0393-0056,nzd0393-0057,nzd0393-0058,nzd0393-0059,nzd0393-0060,nzd0393-0061,nzd0393-0062,nzd0393-0063,nzd0393-0064,nzd0393-0065,nzd0393-0066,nzd0393-0067,nzd0393-0068,nzd0393-0069,nzd0393-0070,nzd0393-0071,nzd0393-0072,nzd0393-0073,nzd0393-0074,nzd0393-0075,nzd0393-0076,nzd0393-0077,nzd0393-0078,nzd0393-0079,nzd0393-0080,nzd0393-0081,nzd0393-0082,nzd0393-0083,nzd0393-0084,nzd0393-0085,nzd0393-0086,nzd0393-0087,nzd0393-0088,nzd0393-0089,nzd0393-0090,nzd0393-0091,nzd0393-0092,nzd0393-0093,nzd0393-0094,nzd0393-0095,nzd0393-0096,nzd0393-0097,nzd0393-0013,nzd0393-0014,nzd0393-0015,nzd0393-0016,nzd0393-0017,nzd0393-0018,nzd0393-0019,nzd0393-0098,nzd0393-0099,nzd0393-0100,nzd0393-0102,nzd0393-0101
2000-06-18 21:59:27.736000,L7,,,,,,,,,,,,,,306.87,292.34,283.41,296.04,291.97,278.99,264.18,262.55,256.83,268.16,268.36,264.47,270.68,272.95,272.85,268.83,280.22,277.72,286.85,280.88,267.54,268.93,265.80,260.53,293.70,285.39,274.64,,,318.97,317.49,330.32,324.73,317.83,318.79,317.50,312.79,312.69,,292.85,291.32,298.27,286.39,296.88,299.72,291.80,308.64,314.11,301.74,297.82,308.96,317.07,325.67,330.90,329.53,335.14,342.03,343.77,346.33,348.75,342.39,335.86,343.59,379.95,378.78,344.76,339.42,333.65,337.60,333.25,331.86,378.85,353.33,375.09,338.67,369.05,,,,269.01,297.93,310.29,315.09,318.12,317.18,,,,,
2000-08-05 21:58:20.584000,L7,,293.55,305.71,319.06,315.07,,,332.61,364.55,334.06,331.90,324.70,321.13,302.57,293.23,283.83,293.20,296.97,282.49,268.88,256.35,254.55,258.98,250.14,258.12,268.53,277.14,279.01,277.52,284.83,276.19,278.08,282.85,273.47,261.13,269.94,255.38,299.75,286.18,264.72,,,312.11,308.81,321.91,317.54,319.00,323.62,315.58,309.50,303.20,272.04,288.68,287.54,291.17,280.65,292.42,300.97,289.16,305.15,306.98,295.47,297.94,308.13,314.63,321.89,324.81,325.28,329.48,337.09,338.57,380.09,364.98,359.52,362.19,362.61,361.81,353.78,343.26,331.84,328.12,330.91,331.06,362.86,335.28,333.60,334.48,332.07,337.81,334.99,340.83,328.09,335.83,345.38,308.54,317.40,317.72,314.78,368.19,,,,
2000-08-05 21:58:44.520000,L7,,,,,,,,,,,,,,290.70,283.91,271.50,274.34,284.45,268.70,253.11,246.84,250.68,247.94,,,,,,,270.54,266.47,268.55,268.03,256.62,252.43,249.44,,,,,,,300.65,300.22,312.42,309.88,302.69,314.62,305.72,300.80,289.42,,279.88,277.34,279.56,275.98,285.74,292.20,276.45,297.98,297.23,290.04,292.30,301.65,308.97,316.10,318.76,319.22,321.59,329.49,328.42,335.32,339.53,335.25,328.41,361.01,346.55,337.40,329.49,325.33,321.10,326.27,326.70,324.59,328.48,325.83,329.23,327.41,329.49,326.61,331.31,,254.48,271.98,289.78,308.11,306.10,308.03,356.64,,,,
2000-09-06 21:57:58.861000,L7,,,,,,,,,,,,,,313.95,298.38,297.27,298.16,296.14,282.22,267.24,264.48,264.07,260.56,240.25,256.86,261.78,273.62,277.84,271.27,293.88,280.90,292.95,300.53,288.05,277.24,267.73,257.53,302.10,292.50,269.99,,,318.89,315.03,328.90,322.53,329.20,325.57,318.02,312.81,306.22,277.37,289.15,292.55,297.83,295.32,302.44,314.10,302.18,318.29,316.29,299.21,305.58,331.06,332.87,337.56,330.89,332.47,335.12,344.59,364.09,351.63,354.64,352.48,377.15,377.00,346.65,346.07,347.74,362.36,,,373.32,363.36,338.53,343.04,340.82,341.39,343.46,343.97,347.42,285.10,297.77,313.22,314.11,322.13,328.06,321.53,,,,,
2000-09-06 21:58:22.821000,L7,,,,,,,275.91,277.01,282.92,289.79,300.55,284.35,,316.24,300.55,297.48,298.73,302.24,283.63,268.10,265.09,263.93,261.63,241.42,259.90,263.82,276.38,280.23,272.83,293.31,282.92,294.02,301.07,286.24,278.44,271.29,257.01,302.73,294.87,270.19,287.36,,319.31,316.04,329.32,323.69,365.02,328.10,319.44,313.49,306.41,280.20,291.29,293.13,297.20,295.32,302.29,315.34,302.11,320.66,316.39,301.26,304.46,331.61,366.01,336.05,333.06,332.97,335.14,345.13,364.37,,,,380.02,378.11,347.60,345.22,376.06,,,,,,,,,,,,,294.54,302.36,315.26,315.63,324.55,329.43,323.60,,,,,
2000-10-08 21:58:00.300000,L7,,,,,,260.40,274.12,280.20,292.75,290.22,300.34,295.59,303.36,315.80,304.61,302.82,307.54,307.64,296.19,283.01,283.89,280.92,285.58,285.12,288.87,291.39,297.16,307.06,297.56,302.96,300.46,304.69,299.74,291.94,279.03,273.26,265.48,304.55,292.34,273.52,,,321.52,319.71,337.09,335.97,345.58,336.39,335.50,331.78,323.44,300.54,298.45,294.69,301.17,306.94,310.31,321.79,315.83,324.20,319.16,306.56,311.91,329.37,332.87,340.30,334.71,335.73,339.00,346.07,348.18,350.52,352.35,359.18,348.37,353.06,350.65,346.69,347.98,350.74,346.05,341.53,339.34,337.15,339.94,337.21,342.63,348.36,353.28,,,300.88,311.02,319.00,329.06,331.30,329.80,328.29,,,,,
2000-11-25 21:57:34.931000,L7,,,,,,270.33,282.22,299.96,314.79,326.55,334.95,336.22,326.58,325.65,314.95,312.20,318.45,321.52,318.56,297.40,293.93,285.56,291.75,295.97,298.90,298.04,300.34,312.31,304.99,303.86,302.57,309.09,301.66,299.35,288.99,284.12,273.15,307.74,296.86,290.51,,266.98,334.02,323.60,333.05,370.17,375.47,375.91,364.57,367.12,364.07,310.97,311.21,306.23,307.94,308.42,312.29,323.96,325.68,324.86,320.68,316.48,319.80,329.82,332.75,340.74,341.48,342.91,341.08,355.79,,,,,,,,362.72,351.61,349.24,347.69,343.82,347.29,340.65,341.64,,,,,,,326.37,318.90,338.57,338.97,336.69,331.55,331.79,,,,,
2000-11-25 21:57:58.896000,L7,,,,,,267.29,282.24,296.90,310.26,321.63,320.96,327.99,321.80,324.73,314.54,311.77,316.85,318.31,310.92,293.96,291.18,284.53,290.18,290.96,296.11,295.57,298.97,311.11,305.02,302.54,301.13,308.16,300.14,295.45,283.88,279.71,267.35,305.89,293.57,279.27,,261.73,333.30,322.67,331.94,374.88,380.36,389.02,370.81,370.53,377.45,309.26,309.62,301.99,305.42,305.54,309.74,322.69,324.27,325.63,319.53,315.54,318.11,329.23,331.20,338.87,340.46,341.02,340.13,359.34,351.77,356.06,355.78,358.77,360.88,360.19,368.12,353.80,350.86,347.56,345.60,343.34,345.33,338.84,341.87,347.24,350.26,354.93,359.59,353.84,368.32,323.08,315.55,336.47,333.97,336.19,330.34,330.94,,,,,
2000-12-11 21:57:36.803000,L7,,,,,,255.64,274.67,278.80,283.88,289.24,301.12,294.77,300.78,320.10,306.25,301.95,308.36,307.89,297.80,293.97,289.68,282.81,287.88,289.07,296.75,296.52,298.34,311.90,303.36,304.91,305.79,310.25,301.60,301.23,284.47,283.86,272.82,311.42,295.81,279.74,323.90,301.72,328.82,322.62,340.55,338.35,348.55,339.20,339.16,329.70,329.53,304.58,308.16,298.34,302.86,305.37,313.78,327.21,328.63,333.36,320.20,315.43,314.89,332.41,339.17,345.92,342.64,337.24,339.72,346.67,349.31,354.33,355.85,356.27,351.32,362.43,356.28,350.39,350.58,354.68,352.47,352.49,353.70,339.04,348.09,344.31,358.99,,,,,292.19,306.17,314.31,324.88,328.34,325.87,326.68,,,,,
2000-12-11 21:58:00.763000,L7,,,,,,256.56,277.07,281.82,286.10,292.84,301.97,295.35,301.85,322.39,307.00,302.46,307.05,309.27,299.42,290.97,291.17,283.10,289.94,288.80,296.99,297.18,298.92,311.81,303.64,304.41,308.13,310.53,303.45,300.34,285.45,283.21,269.71,309.08,297.85,273.80,322.73,297.51,332.80,322.98,340.31,337.83,349.13,339.75,339.45,330.74,329.39,305.47,307.63,299.09,303.05,305.36,312.46,326.92,329.14,334.00,320.23,316.29,317.19,331.42,338.41,345.84,339.26,338.25,340.24,346.82,349.29,353.36,355.82,355.00,350.49,361.01,357.37,350.39,351.43,353.57,374.56,369.00,,339.60,346.85,340.07,350.19,355.62,356.78,351.63,357.40,310.39,303.01,320.67,325.79,329.13,328.10,327.68,,,,,
