dates,nzd0391-0000,nzd0391-0001,nzd0391-0002,nzd0391-0003,nzd0391-0004,nzd0391-0005,nzd0391-0006,nzd0391-0007,nzd0391-0008,nzd0391-0009,nzd0391-0010,nzd0391-0011,nzd0391-0012,nzd0391-0013,nzd0391-0014,nzd0391-0015,nzd0391-0016,nzd0391-0017,nzd0391-0018,nzd0391-0019,nzd0391-0020,nzd0391-0021,satname
2019-08-18 22:07:23.116,343.4290909090909,351.105,376.7058333333334,359.83444444444444,314.225,297.0011111111111,183.465,232.542,186.8177777777778,248.91000000000003,179.01666666666668,191.92499999999998,312.62,284.4766666666667,179.03199999999998,189.728,202.20727272727274,202.25090909090912,205.6757142857143,324.98333333333335,321.3399999999999,348.21875,L8
2019-08-18 22:07:47.079,344.2808333333333,350.24692307692305,376.5138461538462,359.207,312.8371428571428,296.934,183.465,229.36818181818182,186.8177777777778,248.91000000000003,179.01666666666668,191.92499999999998,312.62,284.4766666666667,179.03199999999998,189.728,202.20727272727274,199.9958333333333,205.6757142857143,324.98333333333335,319.246,347.3511111111111,L8
2019-10-05 22:07:36.198,346.44461538461536,349.955,376.4814285714286,358.96000000000004,311.33375,296.934,181.56857142857143,227.14083333333335,186.8177777777778,248.91000000000003,179.01666666666668,191.92499999999998,312.62,284.4766666666667,179.03199999999998,189.728,202.20727272727274,198.04153846153847,205.6757142857143,321.12857142857143,320.6063636363636,347.3511111111111,L8
2019-10-05 22:08:00.157,347.6764285714285,349.37399999999997,376.24266666666665,358.96000000000004,311.33375,296.5781818181818,179.53875,222.39692307692306,186.8177777777778,248.91000000000003,179.01666666666668,191.92499999999998,312.62,284.4766666666667,179.03199999999998,189.728,202.20727272727274,198.04153846153847,205.6757142857143,321.12857142857143,319.0025,347.3511111111111,L8
2019-12-08 22:07:32.611,346.43416666666667,351.49916666666667,377.5449999999999,358.56100000000004,306.005,296.4599999999999,183.77142857142857,198.9466666666667,172.8957142857143,274.8071428571429,182.10500000000002,194.41000000000003,308.105,285.07666666666665,177.682,197.94375,204.66857142857148,198.03666666666666,213.01399999999998,325.99499999999995,328.2675,347.7575,L8
2019-12-08 22:07:56.574,349.03153846153845,353.48692307692306,378.096923076923,359.6445454545455,306.005,296.68454545454546,186.26375000000002,199.89307692307693,172.8957142857143,284.25,182.10500000000002,194.41000000000003,310.59,285.41499999999996,180.86166666666668,198.92444444444445,204.74,198.03666666666666,213.01399999999998,329.82571428571424,328.41153846153844,348.32666666666665,L8
2020-01-09 22:07:25.588,359.416,354.735,378.53599999999994,359.55375000000004,306.73999999999995,297.025,183.836,201.38400000000001,174.25750000000002,332.54799999999994,177.8,182.23,310.59,285.41499999999996,193.43000000000004,201.60333333333332,206.67999999999998,192.59166666666667,226.72,336.455,334.82,352.2655555555555,L8
2020-01-09 22:07:49.551,359.416,353.7409090909091,377.50636363636363,359.55375000000004,306.73999999999995,297.025,184.3166666666667,200.7563636363636,173.334,332.54799999999994,177.575,183.625,310.59,285.41499999999996,193.43000000000004,198.52571428571426,201.46833333333333,193.02714285714288,226.72,336.455,334.82,352.2655555555555,L8
2020-02-10 22:07:16.756,366.40333333333325,356.265,377.6975,364.46333333333337,304.23999999999995,296.445,185.936,198.48571428571424,164.01999999999998,365.83500000000004,177.35,185.02,313.985,285.05999999999995,197.58500000000004,197.56,196.27333333333334,186.3325,239.25,346.32166666666666,329.2357142857143,353.66833333333335,L8
2020-02-10 22:07:40.719,366.40333333333325,358.7388888888889,378.62666666666667,368.5628571428571,304.23999999999995,296.445,185.936,198.48571428571424,164.01999999999998,371.31600000000003,177.35,185.02,313.985,285.05999999999995,197.58500000000004,197.56,196.27333333333334,186.3325,239.25,348.5628571428571,333.29875,354.2842857142858,L8
