dates,nzd0150-0000,nzd0150-0001,nzd0150-0002,nzd0150-0003,nzd0150-0004,nzd0150-0005,nzd0150-0006,nzd0150-0007,nzd0150-0008,nzd0150-0009,nzd0150-0010,nzd0150-0011,nzd0150-0015,nzd0150-0016,nzd0150-0017,nzd0150-0026,nzd0150-0027,nzd0150-0012,nzd0150-0013,nzd0150-0014,nzd0150-0018,nzd0150-0019,nzd0150-0023,nzd0150-0024,nzd0150-0025,nzd0150-0020,nzd0150-0021,nzd0150-0022,satname
2013-12-07 22:07:14+00:00,323.18,336.89,313.89,319.46000000000004,326.59749999999997,335.12,38.875,72.97,121.86500000000001,166.59666666666666,212.10500000000002,210.09500000000003,296.95666666666665,295.45666666666665,287.27,289.475,308.035,181.26666666666665,159.89,300.60999999999996,298.57,298.8866666666667,302.165,289.71500000000003,283.45000000000005,280.96999999999997,261.5466666666667,269.01,L8
2014-01-24 22:07:09+00:00,328.395,335.0,331.83,327.1675,331.5225,339.44,38.875,72.97,121.86500000000001,163.315,212.10500000000002,210.09500000000003,297.745,296.0125,288.2575,290.6366666666667,308.55333333333334,173.86999999999998,150.36499999999998,302.0675,297.005,298.615,299.42,289.06,281.3233333333333,284.2575,262.93,267.85,L8
2014-02-09 22:06:57+00:00,327.184,332.17,329.83,326.996,331.106,338.428,35.12,69.45333333333333,114.47333333333334,157.1,204.87666666666667,201.42999999999998,298.104,296.57399999999996,287.26,289.2075,306.8475,173.86999999999998,150.36499999999998,302.18600000000004,295.352,297.34000000000003,297.15,287.775,279.4375,283.238,261.866,266.728,L8
2014-04-30 22:05:46+00:00,326.52,332.17,331.8566666666666,326.962,330.032,338.36199999999997,35.0025,70.12,116.9675,157.15,204.23,202.8725,299.258,297.798,286.56,290.84749999999997,308.8075,172.84,150.36499999999998,304.132,294.78000000000003,297.04200000000003,295.79499999999996,288.0125,279.1425,282.858,263.256,266.904,L8
2014-05-16 22:05:09+00:00,325.948,331.7366666666667,332.09333333333336,326.52799999999996,328.654,337.33799999999997,34.52,71.24,117.88499999999999,156.60999999999999,204.45999999999998,203.7575,300.28200000000004,299.26800000000003,286.96,292.4525,308.3575,173.76666666666665,150.755,305.85,294.11400000000003,296.55,294.6275,287.5525,278.0025,283.742,263.062,267.332,L8
2014-06-17 22:05:44+00:00,327.505,331.7366666666667,332.09333333333336,328.6625,329.61249999999995,338.3225,32.46666666666667,70.42,116.70333333333332,153.99666666666667,226.39749999999998,226.47,302.14500000000004,300.755,287.9775,292.4525,308.3575,173.32999999999998,149.88,307.8125,291.915,295.71999999999997,294.6275,287.5525,278.0025,286.31500000000005,263.2075,264.4475,L8
2014-11-08 22:05:52+00:00,337.055,335.59,332.54,331.64,332.86,341.91499999999996,35.14,76.72,125.97,160.02,271.9166666666667,272.6266666666667,302.16499999999996,301.54499999999996,294.16,293.28499999999997,309.595,175.88,149.88,306.145,294.735,295.595,300.0,289.78999999999996,281.53,287.03499999999997,259.22,268.455,L8
2015-02-28 22:05:24+00:00,359.625,,,335.72,336.41,343.03,13.37,55.4,,134.82,302.87,303.3,302.37,301.5,299.41,292.17,326.83,,,302.71,297.68,296.72,304.5,291.68,283.39,289.69,272.02,271.46,L8
2015-07-22 22:05:37+00:00,374.55,,,315.93,322.31,,13.37,55.4,,134.82,297.78,291.47,290.85,287.58,264.47,283.18,315.17499999999995,,,296.87,,,,,,,283.83,,L8
2015-08-07 22:05:40+00:00,339.49,296.77,301.22,310.15,319.98,324.02,13.37,55.4,,158.39999999999998,275.46999999999997,270.265,290.85,287.58,264.47,283.18,315.17499999999995,193.8,180.44,294.32,,,,,,,283.83,,L8
2015-08-23 22:05:48+00:00,340.21333333333337,320.44,320.865,319.07666666666665,325.75333333333333,334.66499999999996,21.965,59.075,98.52,154.22666666666666,251.69999999999996,247.39000000000001,296.06,294.245,278.105,288.16499999999996,313.27666666666664,152.735,132.95,299.06666666666666,295.48,297.88,304.31,286.85,282.34,288.67,271.09000000000003,268.14,L8
2016-03-02 22:05:31+00:00,,,,,,343.29,30.35,,103.93,,177.03,164.87,303.06,301.64,291.88,297.23,317.26,106.3,82.49,312.88,298.7,301.17,302.62,288.33,281.19,291.88,275.28,277.36,L8
2016-09-10 22:05:51+00:00,346.09,347.17,345.13,342.61,344.2,348.43,28.64,60.6,101.17,149.29,204.95,181.97,303.11,304.61,291.82,295.17,311.57,131.25,89.8,310.74,300.3,302.14,304.53,291.99,285.53,289.19,271.57,268.47,L8
2016-10-12 22:06:21+00:00,346.09,347.17,345.13,342.61,344.2,348.43,25.02,58.215,95.0,147.02499999999998,185.72,169.85,303.11,304.61,310.24,313.565,328.735,131.25,89.8,310.74,318.375,317.655,304.53,291.99,285.53,289.19,271.57,288.095,L8
2016-12-15 22:06:18+00:00,345.315,345.105,343.08500000000004,341.83500000000004,342.93,348.5,28.599999999999998,62.46666666666667,101.43666666666667,150.63333333333333,191.60666666666665,181.0533333333333,304.36,303.53499999999997,304.86,308.06,323.83,149.87,103.25999999999999,311.98,312.06333333333333,313.0366666666667,303.93499999999995,292.70000000000005,285.0,288.69,277.38,283.7166666666667,L8
2017-01-16 22:05:47+00:00,342.1566666666667,342.0566666666667,340.79,339.51,340.8833333333334,345.6433333333334,30.189999999999998,63.682500000000005,104.0775,152.09,196.3025,187.2875,303.72333333333336,302.5366666666667,299.25,304.325,320.485,149.56333333333333,110.75999999999999,310.94666666666666,307.7625,309.0575,301.38666666666666,291.0733333333333,282.99666666666667,287.80333333333334,278.4433333333333,280.7425,L8
2017-03-05 22:05:50+00:00,342.1566666666667,342.0566666666667,340.79,339.1075,339.81,345.02,29.998,64.396,104.628,151.554,195.49200000000002,186.488,302.775,300.8175,297.03200000000004,301.744,318.08,140.29,104.695,310.405,305.25,306.53000000000003,300.1225,288.39,281.455,287.22749999999996,278.4675,278.066,L8
2017-04-06 22:05:33+00:00,343.3766666666667,339.5,338.62,337.94,340.61,343.88333333333327,30.337500000000002,65.345,105.49249999999999,152.12,193.1275,187.6175,304.005,301.08500000000004,300.10800000000006,304.06399999999996,318.95799999999997,143.3033333333333,109.65999999999998,311.4325,306.842,309.172,299.6975,288.8975,281.645,290.4625,281.65500000000003,279.52,L8
2017-05-24 22:05:10+00:00,343.3766666666667,326.27,326.56,330.905,336.556,340.53499999999997,33.31666666666667,68.51666666666667,111.04666666666667,154.57333333333335,202.00666666666666,197.58,304.005,301.08500000000004,292.97,297.09000000000003,312.22249999999997,143.3033333333333,109.65999999999998,311.4325,299.44,303.1725,299.6975,288.8975,281.645,290.4625,281.65500000000003,272.46999999999997,L8
2017-07-11 22:05:26+00:00,342.795,317.885,319.32000000000005,327.52,335.28,335.37,32.095000000000006,67.29,109.41499999999999,152.935,201.32000000000002,194.64000000000004,303.46999999999997,300.6266666666667,292.59333333333336,297.1033333333333,311.6233333333333,130.70999999999998,106.13,310.83666666666664,299.44,302.9633333333333,298.48333333333335,287.39333333333326,280.7033333333333,291.21999999999997,281.1433333333334,271.63999999999993,L8
2017-09-13 22:05:44+00:00,349.75,299.81,302.44,309.8,333.87,329.20000000000005,,,,,,,308.03,305.68,302.06,306.77,315.96,,,309.85,307.64,316.095,302.83,294.02,293.385,297.445,284.32,275.74,L8
2017-12-02 22:06:10+00:00,350.28,348.24,,347.87,344.08,337.645,30.2,62.24,104.59,151.79,198.5,178.84,300.97,300.17,295.145,292.86,308.83,209.01,182.31,308.505,304.095,310.47,305.67,294.87,292.58000000000004,291.565,285.02,265.17,L8
2018-03-08 22:05:39+00:00,349.16999999999996,348.15999999999997,,347.305,342.565,347.28,31.424999999999997,66.33,108.49000000000001,152.58499999999998,194.04000000000002,189.44,303.235,301.46500000000003,296.21,295.365,311.765,205.45499999999998,174.555,310.5166666666667,303.98,310.1133333333333,304.99,293.78,289.57,293.26666666666665,284.03499999999997,267.665,L8
2018-04-25 22:04:50+00:00,348.33,347.31666666666666,,346.03000000000003,341.45,345.9533333333334,28.536666666666665,61.68000000000001,104.05333333333334,150.55666666666664,189.50333333333333,188.23000000000002,302.8833333333334,301.02666666666664,296.19,296.5233333333333,312.28999999999996,197.45666666666668,171.17,313.46333333333337,302.2966666666667,306.6,303.9666666666667,293.1466666666667,283.4066666666667,294.18666666666667,281.96666666666664,267.08,L8
