dates,nzd0502-0000,nzd0502-0001,nzd0502-0002,nzd0502-0003,nzd0502-0004,nzd0502-0005,nzd0502-0006,nzd0502-0007,nzd0502-0008,nzd0502-0009,nzd0502-0010,nzd0502-0011,nzd0502-0012,nzd0502-0013,nzd0502-0014,nzd0502-0015,nzd0502-0016,nzd0502-0017,nzd0502-0018,nzd0502-0019,nzd0502-0020,nzd0502-0021,nzd0502-0022,nzd0502-0023,nzd0502-0024,nzd0502-0025,nzd0502-0026,satname
2017-12-25 22:14:47+00:00,337.02750000000003,337.065,317.78000000000003,334.16499999999996,370.40333333333336,334.79999999999995,374.21999999999997,339.33500000000004,374.21500000000003,330.49,312.135,312.7733333333333,322.07666666666665,320.52000000000004,302.01,321.36,338.8666666666667,340.5733333333333,341.322,334.15999999999997,319.624,319.634,319.228,316.38199999999995,315.964,326.908,300.3475,L8
2018-03-15 22:14:10+00:00,343.29333333333335,342.83666666666664,318.545,331.28,382.17,330.84,395.57,335.16,377.13000000000005,329.24,308.91,329.16,332.93,331.11,312.35,,349.18333333333334,356.55333333333334,344.9375,343.4575,335.9475,331.77750000000003,330.135,327.505,326.2225,336.4275,322.21,L8
2018-04-16 22:13:54+00:00,353.2900000000001,356.255,330.93,331.28,375.27,330.84,379.865,354.56500000000005,377.13000000000005,348.655,308.91,329.16,332.93,350.22,312.35,337.67,348.3725,353.6725,353.0575,349.0575,342.7175,337.375,338.7525,333.765,332.79499999999996,343.96750000000003,332.49,L8
2018-05-02 22:13:45+00:00,349.28499999999997,374.99,315.64,314.29,375.27,316.12,379.865,373.97,385.225,368.07,291.71,,314.7,342.47,293.69,337.67,353.3966666666667,359.1133333333333,358.4433333333333,353.85666666666674,347.35999999999996,333.6075,335.34000000000003,326.94500000000005,329.89,348.7366666666667,332.49,L8
2018-05-18 22:13:34+00:00,349.28499999999997,374.99,302.21500000000003,300.56,375.27,300.15,379.865,373.97,385.225,368.07,291.71,,314.7,333.85999999999996,292.975,337.67,353.3966666666667,359.1133333333333,358.4433333333333,353.85666666666674,347.35999999999996,333.6075,335.34000000000003,326.94500000000005,329.89,348.7366666666667,332.49,L8
2018-07-12 22:19:56+00:00,330.29,,322.7166666666667,321.66333333333336,357.71500000000003,316.53333333333336,357.675,362.405,373.89,356.53499999999997,312.005,344.33,328.28999999999996,335.8825,310.1066666666666,336.02,347.7633333333333,355.92333333333335,352.6766666666667,349.52,342.26666666666665,331.9425,333.415,325.50750000000005,327.8325,347.57666666666665,329.3033333333333,L8
2018-07-21 22:13:49+00:00,330.29,,322.7166666666667,321.66333333333336,361.93333333333334,316.53333333333336,365.9266666666667,362.405,373.6,361.8766666666667,327.88,363.325,344.26,341.15999999999997,310.1066666666666,347.74333333333334,351.06,355.335,352.6766666666667,347.625,345.41249999999997,335.26599999999996,334.86,325.50750000000005,330.70799999999997,346.2075,330.8175,L8
2018-08-29 22:20:19+00:00,330.29,357.8,331.1825,330.9775,357.935,325.0975,362.495,357.1933333333333,372.4666666666667,357.9225,329.03499999999997,358.47666666666663,344.23249999999996,341.19166666666666,319.0575,345.205,348.744,352.788,349.3375,345.536,342.356,334.06333333333333,333.5133333333333,325.258,329.185,343.998,327.798,L8
2018-09-07 22:14:12+00:00,348.34000000000003,357.8,331.1825,330.9775,357.935,325.0975,362.952,357.1933333333333,372.4666666666667,357.9225,329.03499999999997,365.4025,343.48,341.0285714285714,320.962,343.866,346.67,350.935,347.392,344.0833333333333,340.89166666666665,333.14285714285717,332.96,325.0116666666667,329.56142857142856,343.07,326.9116666666667,L8
2018-09-30 22:20:31+00:00,348.34000000000003,357.8,331.1825,330.9775,357.935,325.0975,362.952,357.1933333333333,372.4666666666667,357.9225,329.03499999999997,365.4025,343.48,341.0285714285714,320.962,343.866,343.942,350.83500000000004,340.545,338.498,337.154,333.14,333.1442857142857,324.7816666666667,326.04833333333335,339.732,328.535,L8
2019-02-14 22:14:21+00:00,354.03499999999997,355.21500000000003,352.685,351.35,350.735,357.84000000000003,360.84,354.03499999999997,370.445,348.51,333.14,369.59,349.67,346.91333333333336,337.245,337.83666666666664,343.46000000000004,354.43,342.64000000000004,340.57,335.3766666666667,337.515,335.33500000000004,332.08,326.3733333333333,336.36000000000007,328.255,L8
2019-03-02 22:14:17+00:00,349.93,346.305,340.33000000000004,338.945,342.135,350.98,355.56,349.295,366.305,341.6,323.595,367.4766666666667,348.7166666666667,346.2,322.095,335.53333333333336,342.3433333333333,353.715,341.75666666666666,339.4133333333333,335.07666666666665,336.2975,334.84000000000003,331.03,325.6366666666667,333.93666666666667,327.69,L8
