dates,satname,nzd0211-0000,nzd0211-0001,nzd0211-0002,nzd0211-0003,nzd0211-0004,nzd0211-0005,nzd0211-0006,nzd0211-0007,nzd0211-0008,nzd0211-0009,nzd0211-0010,nzd0211-0011,nzd0211-0012,nzd0211-0013,nzd0211-0014,nzd0211-0015,nzd0211-0016,nzd0211-0017,nzd0211-0018,nzd0211-0019,nzd0211-0020,nzd0211-0021,nzd0211-0022,nzd0211-0023,nzd0211-0024,nzd0211-0025,nzd0211-0026,nzd0211-0027,nzd0211-0028,nzd0211-0029,nzd0211-0030,nzd0211-0031,nzd0211-0037,nzd0211-0038,nzd0211-0039,nzd0211-0040,nzd0211-0041,nzd0211-0042,nzd0211-0043,nzd0211-0044,nzd0211-0045,nzd0211-0046,nzd0211-0052,nzd0211-0053,nzd0211-0054,nzd0211-0055,nzd0211-0056,nzd0211-0057,nzd0211-0058,nzd0211-0059,nzd0211-0068,nzd0211-0069,nzd0211-0070,nzd0211-0071,nzd0211-0072,nzd0211-0073,nzd0211-0074,nzd0211-0075,nzd0211-0076,nzd0211-0077,nzd0211-0078,nzd0211-0047,nzd0211-0048,nzd0211-0060,nzd0211-0062,nzd0211-0063,nzd0211-0064,nzd0211-0065,nzd0211-0066,nzd0211-0067,nzd0211-0032,nzd0211-0061,nzd0211-0049,nzd0211-0050,nzd0211-0051,nzd0211-0033,nzd0211-0034,nzd0211-0035,nzd0211-0036
2002-02-02 21:42:30.783000,L7,,,,,,,,,,,351.61,357.06,356.51,360.30,353.49,351.41,371.64,,,,,,,,,,,,,286.20,339.86,284.91,385.76,382.50,370.02,365.59,365.48,368.70,364.03,,369.43,358.99,372.33,367.21,377.62,381.42,393.54,390.57,392.82,389.23,362.14,363.39,352.72,345.90,352.39,355.03,350.34,358.64,367.62,341.86,328.42,354.97,369.24,398.40,391.05,385.30,387.59,389.00,380.31,366.79,334.28,407.65,370.74,385.58,379.52,333.77,341.60,345.47,379.57
2002-02-18 21:42:30.251000,L7,364.21,363.75,359.96,349.36,,,,,,,,,,,,,,,,,,,,,262.29,269.09,302.61,262.90,253.25,253.46,252.07,252.25,390.42,374.44,387.59,377.38,374.72,378.46,378.07,384.41,369.48,369.38,379.45,390.37,386.06,383.25,392.80,392.79,402.80,405.10,379.05,368.25,368.59,365.18,360.41,363.92,361.92,359.15,356.40,344.15,324.75,381.87,390.60,411.08,,,,,377.52,382.73,239.11,408.28,383.35,386.80,385.36,256.01,247.75,284.46,386.22
2002-08-29 21:41:39.340000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,228.45,232.74,237.21,249.20,244.70,245.40,360.28,374.12,378.93,372.97,367.61,372.23,380.51,368.29,371.85,370.11,389.50,388.47,384.38,381.24,384.24,390.25,388.21,388.36,388.88,374.32,371.65,367.96,363.52,369.17,367.21,369.30,374.17,337.92,323.20,377.63,372.45,395.67,389.84,381.99,385.62,385.44,383.11,379.44,,391.99,376.32,383.14,372.52,,,,
2002-09-14 21:41:31.043000,L7,,,,,,,,,,,,,,,,,,,,,,,,,272.80,309.16,246.28,260.29,248.31,251.36,248.02,248.33,386.77,379.91,390.59,379.19,387.66,379.97,378.03,384.91,379.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.31,255.08,381.76
2002-10-16 21:41:24.730000,L7,263.35,290.25,303.83,341.33,336.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.75,389.41,389.15,,,,,,,,,,,,,,,,,,,,,,,396.54,395.47,364.52,350.23,,,,,,,,,,,,,,,,,,388.05
2002-11-01 21:41:30.201000,L7,357.20,357.12,342.58,347.19,348.80,346.20,337.78,337.12,346.93,348.95,350.59,350.19,359.12,355.13,,,,,,,,,,,,225.46,253.65,249.14,249.75,249.87,251.41,249.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-20 21:42:09.421000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,227.62,235.00,240.91,250.14,244.27,244.16,379.01,375.76,381.96,378.37,370.87,375.69,380.83,378.13,376.83,382.53,389.12,395.45,391.51,391.48,401.83,406.49,401.09,401.89,382.71,386.33,378.12,380.83,383.80,364.14,364.92,366.24,380.49,339.60,312.09,,,402.97,396.04,398.67,387.32,390.68,386.48,391.66,331.85,410.67,,,,368.47,,,398.01
2003-02-21 21:42:20.469000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,223.77,238.99,236.77,251.01,345.88,340.99,,,,,,,,,,,,392.68,405.64,400.62,393.85,393.40,391.23,397.17,379.86,381.51,380.05,366.33,365.79,367.67,360.40,354.29,362.50,325.85,300.31,,,399.72,395.60,398.19,390.83,408.46,389.47,389.74,333.95,402.09,,,,340.52,335.78,343.83,333.69
2003-04-10 21:42:26.045000,L7,359.52,358.71,342.60,351.26,350.35,334.53,342.95,,,,,,,,,,,,,,,,,327.74,242.57,230.06,234.67,250.88,245.94,246.57,246.91,249.44,,,,,,,,,,,,,,389.56,395.56,400.34,408.01,400.09,392.23,391.47,380.97,372.62,373.00,382.38,364.17,363.76,375.70,353.86,331.28,,,402.94,405.01,404.27,402.37,394.62,397.56,385.82,357.45,407.19,,,,359.83,359.17,369.62,367.72
2003-04-26 21:42:25.606000,L7,,,,,,,,,,,,,,,,,,,,,,,,313.13,236.20,230.23,257.12,262.13,251.13,244.15,252.29,257.32,364.74,359.18,366.04,364.77,371.29,369.56,384.60,382.86,367.02,374.56,388.66,383.66,387.00,391.70,386.11,392.14,397.20,399.73,377.13,371.98,366.43,368.71,365.66,368.90,366.81,368.61,374.31,346.95,341.85,377.32,391.57,401.62,392.93,391.98,388.21,382.37,387.07,382.44,,397.22,,,,,,254.54,368.40
