dates,nzd0420-0000,nzd0420-0001,nzd0420-0002,nzd0420-0003,nzd0420-0004,nzd0420-0005,nzd0420-0006,nzd0420-0007,nzd0420-0008,nzd0420-0009,nzd0420-0010,nzd0420-0011,nzd0420-0012
2016-08-09 22:07:39+00:00,292.19,227.9025,260.62199999999996,279.344,274.28833333333336,225.02666666666667,,276.15333333333336,307.62,303.3128571428571,302.205,222.10666666666668,182.207
2016-09-10 22:07:51+00:00,284.985,233.17222222222225,257.9916666666666,279.16333333333336,274.28833333333336,225.02666666666667,,276.15333333333336,307.62,302.905,302.205,222.10666666666668,182.207
2016-10-12 22:07:57+00:00,293.405,234.67333333333332,263.12857142857143,282.08,271.8157142857143,227.03857142857143,243.7,280.8525,309.06,305.105,302.8414285714286,224.98600000000002,183.554
2016-12-15 22:07:53+00:00,293.405,219.93333333333337,267.14,280.74800000000005,266.3933333333334,223.86833333333334,242.675,280.33500000000004,310.5,307.22,302.9975,232.78166666666664,199.62166666666667
2016-12-31 22:07:51+00:00,293.405,219.93333333333337,271.84166666666664,281.4716666666667,263.33857142857147,223.44,242.75333333333333,280.33500000000004,310.5,307.22,303.236,235.53142857142853,210.9557142857143
2017-02-08 22:13:46+00:00,293.405,287.95,285.322,285.538,249.1175,227.03333333333333,243.3375,295.99,311.26,312.6333333333333,304.4766666666667,252.71749999999997,282.875
2017-02-24 22:13:41+00:00,293.405,290.175,288.2383333333333,286.08,251.68199999999996,229.63500000000002,242.33200000000002,296.46,311.14,312.6333333333333,304.4766666666667,253.398,284.152
2017-04-06 22:07:09+00:00,309.03,291.3525,294.3933333333334,286.1766666666667,254.15666666666667,228.51400000000004,242.33200000000002,288.31399999999996,311.14,314.2966666666666,304.4766666666667,248.98166666666665,282.90166666666664
2017-04-22 22:07:00+00:00,,286.8375,292.33666666666664,283.81333333333333,253.592,224.852,241.99,286.655,311.46,309.56666666666666,300.3833333333333,244.495,282.30999999999995
2017-05-24 22:07:10+00:00,,286.8375,292.73999999999995,285.57714285714286,260.4216666666667,226.6016666666667,241.99,285.746,311.46,309.56666666666666,300.3833333333333,242.83571428571432,282.30999999999995
2017-06-16 22:13:31+00:00,,286.8375,292.6716666666666,282.41142857142853,265.4316666666667,223.9483333333333,242.10333333333335,283.435,311.46,309.56666666666666,299.28499999999997,241.14000000000001,283.35499999999996
2017-06-25 22:07:23+00:00,,286.8375,292.6716666666666,282.2475,268.0942857142857,222.94,242.10333333333335,280.546,311.46,309.56666666666666,299.28499999999997,238.71428571428572,283.35499999999996
2017-12-09 22:13:57+00:00,303.14,292.05,284.07,277.3233333333333,272.71,211.04500000000002,241.66,281.85,306.93,315.91,301.54,238.915,278.39
2018-02-11 22:13:38+00:00,298.775,285.48,273.895,279.005,261.01,,241.66,265.96,284.725,306.45000000000005,287.20000000000005,253.67,278.39
