dates,nzd0261-0000,nzd0261-0001,nzd0261-0002,nzd0261-0003,nzd0261-0004,nzd0261-0005,nzd0261-0006,nzd0261-0007,nzd0261-0008,nzd0261-0009,nzd0261-0010,nzd0261-0011,nzd0261-0012,nzd0261-0013,nzd0261-0014,nzd0261-0015,nzd0261-0016,nzd0261-0017,nzd0261-0018,nzd0261-0019,nzd0261-0020,nzd0261-0021,nzd0261-0022,nzd0261-0023,nzd0261-0024,nzd0261-0025,nzd0261-0026,nzd0261-0027,nzd0261-0028,nzd0261-0029,nzd0261-0030,nzd0261-0031,nzd0261-0032,nzd0261-0033,nzd0261-0034,nzd0261-0035,satname
2016-10-12 22:06:45+00:00,,,,,,293.6,,,,310.08,305.15,304.3,,,,,,,,,328.97,,,328.07,328.36,,,,,,,,288.5,,,,L8
2017-12-02 22:06:34+00:00,,308.09,283.75,,,,,,270.39,275.71,283.93,269.48,302.58,301.65,304.64,,312.69,304.74,308.14,299.12,299.69,288.53,307.22,299.1,298.77,,,,,,,,,285.76,267.61,273.19,L8
2018-04-25 22:05:38+00:00,,314.29499999999996,294.71000000000004,303.25,308.21,283.93,284.79,200.39,272.765,276.39,289.09000000000003,277.745,307.47,301.905,314.485,329.45,324.37,312.85,310.82,303.03,304.24,296.255,316.86,301.545,309.55499999999995,338.96,302.28,256.9,,310.79,305.39,285.19,276.23,285.76,264.9,286.83000000000004,L8
2018-10-18 22:06:17+00:00,,320.5,305.67,310.86,309.325,288.225,289.98,199.605,288.705,292.365,301.46000000000004,292.125,317.225,316.785,328.51,332.275,334.365,323.53999999999996,318.45500000000004,322.095,317.51,309.04,331.345,313.58500000000004,321.32,339.935,306.53,264.87,334.44,311.685,312.51,287.33000000000004,279.21500000000003,322.65,277.59000000000003,300.47,L8
2018-11-19 22:06:22+00:00,,,339.26,318.47,310.44,291.28499999999997,293.57000000000005,206.39499999999998,302.685,312.96000000000004,311.82500000000005,304.20500000000004,322.2,337.635,335.59000000000003,335.1,332.68,326.12,323.41,335.975,331.08000000000004,317.245,337.53,323.96500000000003,325.4,341.84000000000003,307.73,288.125,335.79499999999996,315.91999999999996,324.49,289.62,289.31,322.65,292.99,,L8
2018-12-21 22:06:18+00:00,323.88,313.26,315.195,307.82500000000005,302.475,285.4166666666667,287.35,206.39499999999998,298.34666666666664,304.70666666666665,305.01666666666665,296.4866666666667,316.99333333333334,331.48333333333335,329.2866666666667,321.59000000000003,329.47,323.16499999999996,320.295,332.19666666666666,320.40333333333336,309.82666666666665,329.79333333333335,322.75,320.99666666666667,331.6366666666667,303.49,286.00333333333333,323.61999999999995,315.91999999999996,324.49,289.62,289.31,322.65,292.99,,L8
2019-10-21 22:06:49+00:00,,,,,,,,,,,,,,297.76,300.71,296.46,308.89,,,,,,,,,,,,,,,,,,,,L8
2020-02-10 22:06:28+00:00,,,,,,,,,,,,259.26,296.42,294.595,303.04999999999995,292.315,300.45,,303.49,,279.35,,,,,,,,,,,,,,,,L8
2021-02-12 22:06:31+00:00,346.16,318.77,319.39,298.1,301.13,283.35,285.34,204.23,293.47,289.86,294.27,294.07,318.24,317.41,322.24,326.51,330.79,323.06,321.45,328.52,323.81,296.83,330.65,313.52,318.78,334.14,297.43,281.4,313.2,312.54,310.89,281.81,,306.75,276.2,322.0,L8
2022-01-22 22:06:42+00:00,359.82,,,,,287.74,286.58,254.78,301.93,317.33,311.15,307.44,323.35,,,,,352.95,,332.73,328.04,333.82,333.32,,,,,,334.95,327.77,322.41,,,,,,L9
2022-01-30 22:06:34+00:00,344.03499999999997,321.6,300.37,305.88,303.76,285.395,281.86,241.66,301.14,306.49,301.28,303.03999999999996,320.62,316.73,324.15,328.12,331.69,338.515,320.61,330.915,324.6,319.21500000000003,331.855,311.75,318.75,344.24,299.71,290.17,330.76,324.12,313.655,286.19,283.65,314.26,,301.02,L8
2022-02-23 22:06:32+00:00,342.0933333333333,321.905,300.77,308.11,306.28499999999997,286.25666666666666,283.33666666666664,234.00333333333333,301.16,307.60999999999996,300.39000000000004,301.75666666666666,319.47,316.885,325.53499999999997,331.05,331.28999999999996,336.23333333333335,322.665,327.81666666666666,324.6,319.21500000000003,331.855,311.75,330.48,335.345,306.595,287.11,337.48,323.55333333333334,311.2633333333333,288.945,285.41499999999996,314.89,287.24,308.385,L9
2022-10-05 22:06:46+00:00,342.28,327.27,,310.76,311.31,,284.55,194.75,305.39,302.02,283.98,,,324.92,326.64,342.02,335.92,322.52,,,,,,,,,,,,,,,,,,,L9
2022-10-21 22:06:53+00:00,342.28,333.655,,313.005,312.505,292.14,282.15,202.555,306.475,309.82,294.46000000000004,303.01,,324.92,326.64,342.02,335.92,322.52,,,,,,,,,,,,,,298.73,296.43,,,,L9
2023-03-22 22:06:16+00:00,342.28,322.23,,313.005,312.505,292.14,282.15,202.555,306.475,309.82,294.46000000000004,303.01,,324.92,326.64,342.02,335.92,322.52,,,,,,,,,,,,,,298.73,296.43,,,,L8
2023-08-29 22:06:26+00:00,338.36,309.405,,,,,,,276.97,,290.49,275.1,307.41,302.93,322.45,337.03,335.04,326.95,315.34,313.04,317.43,293.62,331.18,302.75,321.12,,,,,302.62,305.51,280.93,,,267.1,,L8
2023-11-09 22:06:36+00:00,341.15999999999997,326.38,,309.96,311.9,291.59,287.95,207.07,291.24,313.07,296.82500000000005,289.02,312.6,321.74,325.075,338.82,333.895,328.67499999999995,319.53,322.69,322.76,303.645,334.83500000000004,316.635,324.74,339.93,313.09,313.35,340.96,318.865,308.055,285.07,289.22,319.3,284.535,,L9
2024-01-12 22:06:42+00:00,338.71666666666664,325.82,302.95,312.16999999999996,310.09,289.92499999999995,282.825,207.07,294.09,308.555,297.86333333333334,293.2766666666667,315.1366666666667,324.0466666666667,323.73333333333335,337.6466666666667,334.17333333333335,341.14,318.1566666666667,326.6766666666667,323.23333333333335,305.8,336.07666666666665,319.8966666666667,322.5133333333333,338.53,317.61,302.81,339.015,320.46333333333337,308.3933333333334,285.44666666666666,286.675,318.0,289.2766666666667,301.35,L9
2024-02-13 22:06:41+00:00,338.71666666666664,325.4625,303.29999999999995,311.02,308.47666666666663,288.65000000000003,285.72666666666663,207.68,294.725,309.87666666666667,297.3025,294.425,315.1366666666667,333.63,323.73333333333335,337.6466666666667,334.17333333333335,341.14,318.1566666666667,328.6125,333.1475,305.025,336.07666666666665,319.8966666666667,322.7825,335.78,313.44666666666666,297.79,339.015,320.46333333333337,308.3933333333334,285.8375,287.25,315.52666666666664,288.27,302.345,L9
2024-02-29 22:06:35+00:00,337.21666666666664,324.7125,301.31333333333333,308.6225,305.505,287.15250000000003,285.2,202.62,295.865,302.1275,297.57,295.93,317.63666666666666,335.2975,322.8666666666666,333.18333333333334,333.1966666666667,340.06,316.25000000000006,329.78,331.755,305.2875,336.4166666666667,326.8,321.95,333.8825,309.8375,290.825,331.1166666666666,319.8866666666667,307.75666666666666,285.86249999999995,284.075,312.92,290.44,303.4166666666667,L9
2024-03-16 22:06:35+00:00,337.21666666666664,320.58599999999996,298.44,304.012,301.53999999999996,283.196,285.2,202.62,295.865,302.1275,297.57,295.93,311.97749999999996,325.45799999999997,318.0275,323.8325,330.59000000000003,340.06,316.25000000000006,329.78,331.755,305.2875,336.4166666666667,326.8,321.95,333.8825,309.8375,290.825,331.1166666666666,319.8866666666667,307.75666666666666,285.86249999999995,284.075,312.92,290.44,303.4166666666667,L9
2024-05-03 22:06:01+00:00,336.635,320.58599999999996,297.464,302.6116666666667,301.325,283.505,284.686,202.0325,290.15999999999997,295.14,295.226,291.53200000000004,310.722,319.9683333333333,318.712,324.34000000000003,330.86800000000005,332.39750000000004,310.0375,329.78,331.755,305.2875,325.9325,319.15999999999997,320.514,334.198,308.26599999999996,283.584,331.1166666666666,319.8866666666667,307.75666666666666,285.86249999999995,284.075,312.92,290.44,303.4166666666667,L9
2024-06-04 22:05:47+00:00,333.59999999999997,313.852,297.464,301.142,299.2099999999999,281.88800000000003,283.86999999999995,200.35333333333332,286.3225,290.6575,293.2425,288.68,308.955,315.852,316.46500000000003,320.27250000000004,330.39750000000004,333.06333333333333,305.4766666666667,328.9266666666666,332.9766666666667,302.49333333333334,321.74666666666667,315.3733333333333,318.5525,332.765,307.06,276.14250000000004,326.19499999999994,312.27500000000003,306.335,284.7466666666666,282.35999999999996,310.79333333333335,286.59666666666664,303.4166666666667,L9
2024-10-10 22:06:22+00:00,333.49333333333334,309.395,293.385,297.25,303.45,283.925,280.895,200.27,279.445,279.355,287.305,276.23,309.31,305.115,319.78,322.58000000000004,329.19,315.46500000000003,302.605,323.22,327.16,302.07,312.08500000000004,303.625,313.905,334.28999999999996,302.61,261.265,321.51,308.9,305.01,,273.78,303.45,282.27,295.86,L9
2024-11-11 22:06:27+00:00,332.795,309.395,293.21,298.89,306.65,282.8,279.16,,291.55,291.52,288.76,278.52,305.295,307.765,309.95500000000004,305.09000000000003,319.585,302.395,302.325,304.39,327.16,302.07,329.69,311.01,313.04,333.12,303.24,267.91,321.51,308.9,305.01,,273.78,303.45,282.27,295.86,L9
2024-12-05 22:06:33+00:00,333.77,319.13,293.21,298.89,306.65,282.8,279.16,,291.55,291.52,288.76,278.52,305.295,307.765,309.95500000000004,305.09000000000003,319.585,302.395,302.325,315.4666666666667,327.16,302.07,329.69,311.01,313.04,333.12,303.24,267.91,341.955,330.38,305.01,,273.78,303.45,282.27,295.86,L8
2025-01-14 22:06:37+00:00,342.31,332.71000000000004,293.21,298.89,318.975,282.8,279.16,,302.52,305.385,301.075,295.9,310.8966666666667,307.765,324.25333333333333,305.09000000000003,319.585,302.395,302.325,327.475,327.16,302.07,335.18,334.53,331.145,336.46500000000003,311.35,267.91,353.8566666666666,336.8566666666666,310.16499999999996,,293.565,303.45,282.27,318.20500000000004,L9
2025-02-07 22:06:29+00:00,339.23333333333335,327.49333333333334,296.945,301.54999999999995,312.5466666666667,283.055,283.415,215.29,301.66333333333336,305.4433333333333,296.65000000000003,290.46999999999997,312.70500000000004,313.49666666666667,323.355,305.09000000000003,319.585,302.395,302.325,327.326,330.525,300.94,333.5733333333333,335.69666666666666,327.12666666666667,336.46500000000003,311.35,267.91,353.8566666666666,336.8566666666666,309.6033333333333,285.62,292.6566666666667,304.235,283.135,312.32666666666665,L8
2025-03-19 22:06:18+00:00,324.92,321.0375,291.08666666666664,297.25,305.075,283.055,283.415,215.29,301.66333333333336,305.4433333333333,296.65000000000003,290.46999999999997,312.70500000000004,313.49666666666667,323.355,305.09000000000003,319.585,302.395,302.325,327.326,330.525,300.94,333.5733333333333,335.69666666666666,327.12666666666667,336.46500000000003,311.35,267.91,353.8566666666666,336.8566666666666,309.6033333333333,285.62,292.6566666666667,304.235,283.135,312.32666666666665,L9
2025-04-12 22:06:00+00:00,313.6225,316.9225,287.8766666666666,293.15,299.7475,273.27,287.67,215.29,306.72,312.405,300.595,296.445,312.6333333333334,311.39,325.10333333333335,291.39,312.77,283.27,290.84,328.3525,333.89,299.81,335.515,348.03999999999996,334.16999999999996,339.81,319.46,,370.03,350.835,311.9,285.62,302.095,305.02,284.0,320.56,L8
2025-04-28 22:05:51+00:00,308.174,313.524,281.485,293.15,299.7475,273.27,287.67,215.29,306.72,312.405,300.595,296.445,312.6333333333334,311.39,325.10333333333335,291.39,312.77,283.27,290.84,328.3525,333.89,299.81,335.515,348.03999999999996,334.16999999999996,339.81,319.46,,370.03,350.835,311.9,285.62,302.095,305.02,284.0,320.56,L8
2025-06-07 22:05:53+00:00,308.174,313.524,281.485,293.15,299.81800000000004,275.73,287.03499999999997,214.39499999999998,291.5366666666667,312.405,300.595,296.445,320.11500000000007,324.96,336.755,,,,,345.115,333.89,299.81,335.515,348.03999999999996,334.16999999999996,339.81,319.46,,377.66,349.81,311.9,285.62,302.095,305.02,284.0,320.56,L9
2025-08-10 22:06:28+00:00,292.0575,301.42333333333335,275.0866666666667,289.56,289.7875,273.17333333333335,286.4,213.5,261.17,,,,,,,,,,,,,,,,,361.12,351.09,,,,,,,,,,L9
2025-08-26 22:06:33+00:00,291.488,301.7375,276.445,289.56,289.7875,273.17333333333335,286.4,213.5,261.17,,,,,,,,,,,,,,,,,361.12,351.09,,,,,,,,,,L9
2025-11-14 22:06:48+00:00,300.25000000000006,302.68,280.52,293.44,295.57500000000005,278.145,290.15,213.5,261.17,321.04,319.5,312.65,,,,,,,,,,,,335.02,,361.12,351.09,,,,,,,314.09,301.47,,L9
