dates,satname,nzd0358-0000,nzd0358-0001,nzd0358-0002,nzd0358-0003,nzd0358-0004,nzd0358-0005,nzd0358-0006,nzd0358-0007,nzd0358-0008,nzd0358-0009,nzd0358-0010,nzd0358-0011,nzd0358-0012,nzd0358-0013,nzd0358-0014,nzd0358-0015,nzd0358-0016,nzd0358-0017,nzd0358-0018,nzd0358-0019,nzd0358-0020,nzd0358-0021,nzd0358-0022,nzd0358-0023,nzd0358-0024,nzd0358-0025,nzd0358-0026,nzd0358-0027,nzd0358-0028,nzd0358-0029,nzd0358-0030,nzd0358-0031,nzd0358-0033,nzd0358-0034,nzd0358-0035,nzd0358-0036,nzd0358-0037,nzd0358-0038,nzd0358-0039,nzd0358-0040,nzd0358-0041,nzd0358-0042,nzd0358-0043,nzd0358-0044,nzd0358-0045,nzd0358-0046,nzd0358-0047,nzd0358-0048,nzd0358-0049,nzd0358-0050,nzd0358-0051,nzd0358-0052,nzd0358-0053,nzd0358-0054,nzd0358-0055,nzd0358-0056,nzd0358-0057,nzd0358-0058,nzd0358-0059,nzd0358-0060,nzd0358-0061,nzd0358-0062,nzd0358-0063,nzd0358-0064,nzd0358-0065,nzd0358-0066,nzd0358-0067,nzd0358-0068,nzd0358-0069,nzd0358-0070,nzd0358-0071,nzd0358-0072,nzd0358-0032
2003-02-12 21:49:43.898000,L7,,370.43,404.92,397.41,337.78,310.18,315.66,335.95,346.02,355.16,343.71,343.24,346.71,352.86,356.92,357.83,370.07,373.95,481.03,480.90,444.15,482.59,298.51,302.23,230.61,179.26,246.57,289.45,302.81,310.61,323.93,367.01,449.52,408.38,386.60,346.65,333.53,351.20,353.60,338.89,307.16,327.07,341.65,347.23,341.17,352.92,350.79,355.18,353.68,352.25,361.04,376.36,379.66,387.79,378.11,367.11,384.19,413.13,410.93,395.66,371.32,366.25,345.61,333.00,363.05,377.09,384.42,389.45,383.41,377.45,374.85,373.60,434.34
2003-03-16 21:49:46.061000,L7,,497.69,479.99,507.89,504.80,492.07,510.52,530.70,514.84,519.91,519.83,521.63,529.46,523.99,525.55,530.81,520.76,497.81,495.45,484.38,481.13,491.09,482.12,469.90,448.89,470.85,462.24,454.38,465.03,469.04,497.95,528.68,447.01,414.31,386.26,352.37,334.38,343.56,353.07,339.19,313.04,330.02,348.56,345.65,327.97,342.15,350.47,353.90,354.66,355.58,381.95,386.63,387.10,395.87,422.49,502.24,518.09,517.91,522.76,461.29,522.96,517.44,512.60,527.51,466.23,491.43,380.11,378.43,374.46,376.06,347.80,326.74,433.93
2003-05-03 21:49:49.056000,L7,310.74,154.63,379.29,365.63,343.42,479.57,506.01,483.55,505.32,505.45,503.00,477.96,351.43,361.35,375.93,390.18,371.66,369.90,364.36,354.33,327.73,308.76,299.03,291.64,242.37,246.02,252.13,301.48,314.27,315.40,429.58,493.47,446.85,409.71,374.95,342.14,323.22,331.94,356.79,342.49,340.23,341.44,344.98,345.77,314.29,355.32,351.58,368.97,358.91,370.84,391.81,396.12,401.16,409.70,394.24,395.50,399.19,398.52,403.86,401.42,401.54,410.10,464.03,390.21,469.27,447.97,395.29,406.02,408.25,395.13,381.72,419.63,452.30
2003-07-30 21:37:45.389000,L5,,161.41,277.03,316.99,326.05,304.91,310.39,335.60,347.59,349.40,342.40,345.19,347.98,357.39,354.37,355.31,351.65,340.97,363.84,346.51,321.74,302.52,304.00,299.69,206.74,,274.58,302.82,312.42,324.24,331.19,385.43,433.65,399.27,367.02,327.51,327.11,344.08,353.58,327.39,300.97,317.58,329.29,334.65,289.05,310.67,342.36,347.90,349.96,347.03,352.79,383.19,367.38,377.66,363.27,367.24,386.11,384.46,372.85,398.56,379.57,371.42,363.50,363.74,369.85,363.40,381.32,388.38,394.13,377.71,383.38,385.75,434.76
2003-10-18 21:39:00.182000,L5,,193.53,268.14,317.61,322.91,303.71,312.42,334.32,343.71,345.64,336.77,335.89,337.40,342.08,345.91,350.26,350.68,339.78,353.34,344.67,320.62,294.01,291.86,287.73,210.75,,250.52,286.67,300.36,314.07,326.59,392.85,410.58,405.43,380.44,343.24,337.83,343.72,352.57,331.39,312.19,314.65,333.96,323.16,291.02,323.92,344.43,350.40,354.94,358.77,360.57,357.30,356.21,372.53,357.94,357.21,379.20,382.78,292.94,388.60,375.76,370.50,353.82,342.56,366.40,359.92,386.29,390.08,394.60,394.35,391.03,397.75,431.84
2003-11-19 21:39:26.321000,L5,,162.33,252.54,302.55,320.72,301.08,305.29,327.54,343.55,345.22,335.76,330.83,336.02,341.66,343.69,344.13,347.00,343.26,352.79,339.90,306.41,289.88,288.45,287.80,219.18,,254.48,291.23,306.20,320.79,339.82,393.81,432.71,404.18,384.32,340.21,337.65,345.56,349.68,326.60,312.78,329.87,340.96,327.76,305.93,321.42,337.05,347.68,348.94,351.94,358.82,360.75,364.13,377.80,364.60,362.92,379.06,379.16,380.41,396.85,391.42,377.07,356.74,360.99,369.16,371.09,389.90,395.08,393.88,379.54,374.90,382.09,432.35
2003-12-21 21:39:43.071000,L5,,197.03,255.00,312.17,320.66,305.32,312.19,327.49,342.52,345.03,342.68,334.86,343.53,346.02,354.34,356.28,353.13,349.87,357.90,346.63,316.46,299.56,296.68,295.40,226.42,174.46,242.86,287.32,305.60,318.13,341.09,386.24,449.65,407.95,391.33,351.77,339.18,354.31,359.22,329.58,317.48,325.07,346.63,343.53,338.53,348.61,349.32,352.71,357.87,401.58,373.17,372.69,375.28,383.82,371.25,368.58,388.54,415.64,420.02,504.70,,,447.02,464.88,386.19,380.39,400.16,444.33,401.34,387.26,368.64,375.19,448.03
2004-01-22 21:39:52.321000,L5,,208.40,261.83,314.38,322.13,302.97,308.63,328.87,345.32,344.52,331.13,338.73,335.66,347.38,349.82,355.30,352.69,346.70,352.25,342.55,314.81,300.73,296.46,296.59,224.99,,242.37,295.80,307.96,323.57,406.75,472.91,452.18,410.74,396.73,350.85,340.82,353.09,356.52,337.49,322.61,332.81,348.80,352.62,335.26,344.02,347.76,349.23,351.57,359.93,374.62,379.17,376.16,386.68,370.22,365.49,386.79,393.42,381.57,396.50,381.18,373.49,364.12,370.67,371.74,376.52,389.50,394.14,395.63,384.86,421.56,389.30,454.08
2004-02-23 21:40:02.028000,L5,,183.68,269.25,316.58,317.68,304.45,313.55,334.79,342.28,344.18,341.53,336.55,339.99,335.00,341.23,331.63,334.06,325.22,344.18,337.58,308.98,294.55,293.33,290.62,220.27,,234.77,289.00,299.20,313.57,326.44,381.87,440.47,416.14,385.00,351.89,341.64,346.76,356.88,332.07,315.41,323.94,348.62,337.63,324.62,347.46,348.65,355.86,355.42,361.73,372.49,376.03,373.93,383.34,361.81,364.46,381.05,388.92,363.36,389.64,375.72,371.78,350.67,340.23,362.29,359.62,381.91,391.77,395.07,391.17,386.38,391.96,434.67
2004-09-18 21:44:58.764000,L5,,197.71,264.69,311.80,319.52,305.94,312.64,336.33,346.65,345.43,342.75,335.11,343.42,344.09,349.95,354.16,348.22,345.28,353.14,339.00,307.59,297.60,299.08,290.86,221.59,,255.62,293.44,303.11,316.55,339.61,384.73,410.40,415.82,388.98,354.41,339.17,338.62,344.38,331.48,314.35,320.49,342.81,328.04,312.71,332.08,345.56,345.26,348.59,354.54,366.45,354.88,361.44,372.05,365.91,372.25,383.59,389.13,369.61,393.84,384.55,379.83,366.58,357.77,371.19,369.05,390.78,394.40,396.77,393.18,381.18,383.38,436.13
