dates,satname,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043,nzd0343-0013
2001-05-13 21:50:33.259000,L7,308.27,275.27,307.41,279.53,309.04,318.36,320.64,297.19,311.41,300.98,332.03,310.05,275.59,304.22,325.37,340.29,310.69,303.47,304.33,315.20,325.24,301.63,299.95,267.19,300.74,293.60,310.74,282.12,279.66,275.51,265.99,274.24,305.25,320.22,309.74,280.06,303.76,286.52,296.78,292.23,293.20,302.78,309.69,354.29
2001-05-22 21:44:42.575000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.73,255.53,244.15,241.82,245.66,251.39,249.39,261.74,256.28,,
2001-06-14 21:50:38.006000,L7,,,,,,,,,,,,,,336.02,313.87,297.11,293.96,313.62,296.98,286.64,274.31,,280.32,265.37,260.25,276.49,281.93,269.80,275.58,289.83,275.60,277.48,292.21,314.96,303.57,287.81,292.64,299.15,296.77,301.02,327.63,312.14,314.21,
2001-09-18 21:49:05.242000,L7,323.85,305.56,308.99,300.31,307.49,321.17,308.72,315.46,339.34,325.53,329.88,316.88,284.72,,,374.34,324.98,324.37,326.72,322.48,311.73,313.48,335.39,320.47,312.72,303.55,312.24,315.78,316.75,329.89,307.59,304.29,312.12,326.55,330.70,313.99,305.43,308.77,307.61,310.68,312.52,324.57,,
2001-10-04 21:48:54.017000,L7,,,,,337.81,331.97,355.41,364.07,380.69,345.46,387.64,367.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-17 21:43:40.748000,L7,354.28,341.76,337.19,330.07,334.80,337.44,335.33,359.73,387.52,385.95,373.46,,,,,,,373.56,352.24,348.50,340.05,335.45,340.24,351.69,338.13,333.55,357.86,,,,,,,,,,,,,,,,,
2002-03-06 21:43:47.645000,L7,,319.61,331.83,332.39,328.41,325.98,333.75,328.75,365.94,,404.01,402.03,393.08,,,,,357.30,323.98,315.31,320.10,324.27,318.72,332.67,324.97,329.05,345.64,323.34,340.20,338.22,334.78,328.48,325.11,332.05,325.39,317.38,315.67,313.76,315.22,,,,,392.22
2002-05-09 21:43:40.721000,L7,314.56,315.65,307.01,302.35,279.71,312.80,314.61,310.78,359.54,333.89,340.11,324.76,280.07,309.05,329.97,307.43,302.12,317.99,315.90,309.96,314.81,304.43,318.28,299.37,287.82,297.12,308.19,299.61,284.53,309.74,298.54,288.56,296.70,308.27,295.93,279.78,277.58,282.86,295.01,290.15,304.42,297.22,334.52,324.80
2002-07-19 21:48:57.399000,L7,322.88,323.26,315.66,310.38,316.79,323.58,329.43,361.25,374.22,356.07,368.98,355.77,297.14,351.75,336.63,314.26,319.13,322.61,316.94,321.78,323.30,323.35,330.21,324.22,308.65,307.16,309.02,301.63,309.21,331.89,299.59,298.13,308.25,320.21,308.47,285.60,284.57,292.69,291.79,292.51,300.92,316.60,323.18,359.95
2002-10-16 21:42:36.617000,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.69,238.12,245.55,243.48,254.88,249.31,264.77,250.24,258.90,265.15,259.28,263.19,266.66,262.76,
