dates,nzd0343-0000,nzd0343-0001,nzd0343-0002,nzd0343-0003,nzd0343-0004,nzd0343-0005,nzd0343-0006,nzd0343-0007,nzd0343-0008,nzd0343-0009,nzd0343-0010,nzd0343-0011,nzd0343-0012,nzd0343-0013,nzd0343-0014,nzd0343-0015,nzd0343-0016,nzd0343-0017,nzd0343-0018,nzd0343-0019,nzd0343-0020,nzd0343-0021,nzd0343-0022,nzd0343-0023,nzd0343-0024,nzd0343-0025,nzd0343-0026,nzd0343-0027,nzd0343-0028,nzd0343-0029,nzd0343-0030,nzd0343-0031,nzd0343-0032,nzd0343-0033,nzd0343-0034,nzd0343-0035,nzd0343-0036,nzd0343-0037,nzd0343-0038,nzd0343-0039,nzd0343-0040,nzd0343-0041,nzd0343-0042,nzd0343-0043
2002-12-26 21:49:23+00:00,,,,,,256.31,,276.23,,,,,217.80333333333337,,,,,,,255.76999999999998,278.07,,305.47,286.27,270.28,243.25333333333333,235.77666666666664,264.51,257.58,249.70499999999998,267.85,282.6,255.12333333333333,306.27,261.29499999999996,285.905,277.33,262.2133333333333,268.36333333333334,277.93,269.8233333333333,273.6366666666667,282.22333333333336,284.05333333333334
2003-01-11 21:49:02+00:00,,,,,,256.31,,276.23,,,,,217.80333333333337,,,,,,,255.76999999999998,278.07,,305.47,310.19,270.28,243.25333333333333,235.77666666666664,264.51,257.58,249.70499999999998,267.85,282.6,255.12333333333333,306.27,261.29499999999996,285.905,277.33,262.2133333333333,268.36333333333334,277.93,269.8233333333333,273.6366666666667,282.22333333333336,284.05333333333334
2003-01-27 21:49:33+00:00,334.88,315.41,304.31,,316.45,293.275,317.53,276.23,,,,,217.80333333333337,,,,,,,273.4675,297.01,318.47,314.525,313.25666666666666,293.89,262.0875,235.77666666666664,264.51,257.58,249.70499999999998,267.85,282.6,255.12333333333333,306.27,261.29499999999996,285.905,277.33,262.2133333333333,268.36333333333334,277.93,269.8233333333333,273.6366666666667,282.22333333333336,284.05333333333334
2003-03-16 21:49:22+00:00,334.88,315.41,304.31,,316.45,293.275,317.53,303.79,,,,347.05,244.85999999999999,344.13,349.74,340.38,331.35,320.28,326.39,297.35749999999996,308.87666666666667,326.905,316.26666666666665,316.1325,294.32,287.2525,255.68999999999997,268.92499999999995,263.58,249.70499999999998,267.85,282.6,262.71000000000004,306.27,258.9,285.905,281.84000000000003,262.845,270.275,280.975,268.76,275.77000000000004,283.30500000000006,286.0
2003-05-03 21:49:49+00:00,343.815,315.41,315.07,,316.45,293.275,317.53,303.79,,,,347.05,264.245,344.13,349.74,340.38,331.35,320.28,326.39,314.85999999999996,308.87666666666667,326.905,316.26666666666665,316.1325,294.32,301.5366666666667,271.0,285.75,279.14,266.4,286.25,282.6,276.25,306.27,,313.59,294.795,275.24,281.09,294.82,277.13,286.44,294.71,298.2
2003-07-23 21:31:26+00:00,343.815,315.41,315.07,315.22,312.34000000000003,327.24,317.88,333.165,374.94,339.41,357.58,347.885,303.325,349.48,347.96500000000003,343.46000000000004,331.35,320.28,326.39,331.53,324.28,326.905,323.19666666666666,322.075,314.2366666666667,315.59000000000003,,,,,,,,,,,290.37,,,,,,,
2003-07-30 21:37:45+00:00,352.75,,318.585,317.105,310.505,322.45000000000005,320.565,329.89000000000004,371.89,346.71000000000004,357.58,348.38000000000005,302.9433333333333,351.3566666666666,346.68,343.46000000000004,331.35,320.28,326.39,336.5,332.61,335.34,323.34666666666664,328.395,314.42333333333335,312.59,,,319.42,,,,,,,,290.37,,,,,,,
2003-08-15 21:37:36+00:00,341.14,320.35,315.39666666666665,315.0466666666667,304.83,317.1933333333333,316.6766666666667,325.0025,365.8966666666667,344.80333333333334,355.37,349.4075,301.28,348.895,344.7075,342.33666666666664,330.08000000000004,320.28,326.39,329.53,332.61,335.34,323.9325,328.47666666666663,315.78499999999997,317.21500000000003,,,319.42,,,,,,,,290.37,,,,,,,
2003-08-24 21:32:00+00:00,336.83666666666664,322.12,314.03499999999997,314.125,303.1175,314.9375,312.065,321.828,360.8075,343.46000000000004,352.5233333333333,349.4075,301.28,348.895,344.662,342.33666666666664,330.08000000000004,319.35,318.09000000000003,321.49666666666667,321.165,329.02,323.57800000000003,328.21,317.548,317.42333333333335,,,319.42,,,,,,,,290.37,,,,,,,
2003-10-18 21:39:00+00:00,336.82,322.12,314.03499999999997,314.125,303.1175,314.9375,314.62600000000003,320.764,360.8075,343.912,350.3975,347.595,303.745,348.255,342.98400000000004,345.9766666666667,333.66999999999996,332.395,324.49,323.50333333333333,328.69000000000005,333.53,327.906,329.35999999999996,322.38599999999997,320.37000000000006,,,319.42,,,,,,,,290.37,,,,,,,
